Scopus-17325-Analyze-Source

"Your query : (SUBJAREA(psyc))"


Number of results : 17325

"SOURCE TITLE",
"Journal of Neurology Neurosurgery and Psychiatry","422"
"Perceptual and Motor Skills","377"
"Physiology and Behavior","365"
"Social Science and Medicine","352"
"Psychological Reports","337"
"Journal of the American Academy of Child and Adolescent Psychiatry","244"
"Pain","220"
"Personality and Individual Differences","212"
"Behavioral and Brain Sciences","200"
"Ergonomics","194"
"Journal of Clinical Psychiatry","193"
"Journal of Personality and Social Psychology","182"
"International Immunology","168"
"Neurobiology of Aging","151"
"Annals of Oncology","147"
"Child Abuse and Neglect","143"
"American Psychologist","132"
"Journal of Consulting and Clinical Psychology","127"
"Psychological Medicine","126"
"Neuropsychologia","125"
"Journal of Experimental Psychology Learning Memory and Cognition","122"
"Behaviour Research and Therapy","118"
"Behavioral Neuroscience","118"
"Perception Psychophysics","112"
"Psychiatry Research","112"
"Journal of Clinical Psychology","111"
"Perception","107"
"Organizational Behavior and Human Decision Processes","106"
"Zhurnal Nevropatologii I Psikhiatrii Imeni S S Korsakova","104"
"Annales Medico Psychologiques","103"
"Journal of Psychosomatic Research","103"
"Sex Roles","102"
"Human Psychopharmacology","101"
"Journal of Affective Disorders","100"
"Schizophrenia Research","100"
"Child Development","99"
"International Journal of Eating Disorders","99"
"American Journal of Medical Genetics Neuropsychiatric Genetics","97"
"International Journal of Psycho Analysis","95"
"Journal of Experimental Psychology Human Perception and Performance","93"
"Developmental Psychology","91"
"CNS Drugs","90"
"Professional Psychology Research and Practice","89"
"Journal of Studies on Alcohol","89"
"Medical Engineering and Physics","88"
"Psychosomatics","87"
"Journal of Neuropsychiatry and Clinical Neurosciences","85"
"Adolescence","81"
"Behavioral Healthcare Tomorrow","80"
"Journal of Clinical and Experimental Neuropsychology","79"
"Journals of Gerontology Series B Psychological Sciences and Social Sciences","79"
"Neuropsychiatrie De L Enfance Et De L Adolescence","78"
"Psychosomatic Medicine","77"
"Behavior Research Methods Instruments Computers","77"
"Health Psychology","76"
"Addictive Behaviors","76"
"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I P Pavlova","76"
"International Journal of Obstetric Anesthesia","76"
"Psychoneuroendocrinology","73"
"Zhurnal Vysshei Nervnoi Deiatelnosti Imeni I P Pavlova","73"
"Journal of Abnormal Psychology","73"
"Brain and Cognition","71"
"Neurobiology of Learning and Memory","68"
"Psychophysiology","66"
"Psychological Assessment","65"
"Neuropsychobiology","65"
"Brain and Language","65"
"Comprehensive Psychiatry","65"
"Psychology and Aging","65"
"Kind En Adolescent","65"
"Neuropsychology","63"
"Restorative Neurology and Neuroscience","63"
"European Archives of Psychiatry and Clinical Neuroscience","63"
"Journal of Applied Psychology","61"
"Technological Forecasting and Social Change","61"
"Journal of Counseling Psychology","61"
"American Journal of Orthopsychiatry","61"
"Advances in Psychology","60"
"Human Factors","59"
"Journal of Pediatric Psychology","58"
"Psychological Bulletin","58"
"International Psychogeriatrics","58"
"European Neuropsychopharmacology","57"
"Psychopathology","56"
"Neurodegeneration","56"
"Journal of Traumatic Stress","56"
"Journal of Homosexuality","56"
"British Journal of Clinical Psychology","55"
"Dementia","55"
"Behavior Genetics","55"
"Journal of Brain Research","54"
"Experimental and Clinical Psychopharmacology","54"
