"name","position","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"1","Mike Trout","OF",28.4295399963442,NA,NA,NA,NA,NA,6.37624896177737,7.19859498567881,6.01572470205455,5.76159688463063,3.15248835519738,3.07737446220285,NA,NA,NA,NA,NA,110.333333333333,31.6666666666667,105.666666666667,20.6666666666667,0.383666666666667,3.07737446220285
"2","Giancarlo Stanton","OF",25.920280036028,NA,NA,NA,NA,NA,5.79023236134715,8.93097121485041,6.51476464823939,1.9952126700965,3.12245929468372,2.68909914149451,NA,NA,NA,NA,NA,100.666666666667,39,114,7.66666666666667,0.382333333333333,2.68909914149451
"3","Carlos Gomez","OF",25.014118382753,NA,NA,NA,NA,NA,5.68919501644538,4.91500813813443,4.31898888502609,9.23825923650829,2.10147123721919,2.09092634314706,NA,NA,NA,NA,NA,99,22,77.3333333333333,32.6666666666667,0.337,2.09092634314706
"4","Andrew McCutchen","OF",24.8775444283945,NA,NA,NA,NA,NA,5.26483816785798,5.46621875650721,5.67637753864886,5.37530106775533,3.4978225511045,3.09480889762509,NA,NA,NA,NA,NA,92,24.3333333333333,100,19.3333333333333,0.399,3.09480889762509
"5","George Springer","OF",23.6380158868085,NA,NA,NA,NA,NA,4.86068878825092,6.72612874135928,5.05756800537965,5.18215315931769,2.1540220931181,1.81147719250091,NA,NA,NA,NA,NA,85.3333333333333,29.6666666666667,89.6666666666667,18.6666666666667,0.339333333333333,1.81147719250091
"6","Jose Abreu","1B",23.5767567594741,NA,NA,NA,NA,NA,5.58815767154362,8.30101622242438,6.31514866976545,0.932899173689435,2.86721228031759,2.43953502205125,NA,NA,NA,NA,NA,97.3333333333333,36.3333333333333,110.666666666667,4,0.371,2.43953502205125
"7","Paul Goldschmidt","1B",23.5320089870833,NA,NA,NA,NA,NA,5.36587551275974,6.64738436730603,5.75622393003843,3.05752616650356,3.16750288545421,2.70499901047552,NA,NA,NA,NA,NA,93.6666666666667,29.3333333333333,101.333333333333,11.3333333333333,0.384333333333333,2.70499901047552
"8","Anthony Rizzo","1B",23.2319717240759,NA,NA,NA,NA,NA,5.56795020256327,7.59231685594508,6.03568629990194,1.31919499056473,2.81466142441868,2.71682337510089,NA,NA,NA,NA,NA,97,33.3333333333333,106,5.33333333333333,0.368666666666667,2.71682337510089
"9","Edwin Encarnacion","1B",22.5568088909287,NA,NA,NA,NA,NA,5.40629045072044,7.9072943521581,6.07560949559673,0.932899173689435,2.67202338697878,2.23471541876395,NA,NA,NA,NA,NA,94.3333333333333,34.6666666666667,106.666666666667,4,0.362333333333333,2.23471541876395
"10","Jose Bautista","OF",22.3936874899333,NA,NA,NA,NA,NA,5.60836514052397,7.43482810783857,5.69633913649625,1.22262103634591,3.1599956203258,2.43153406872861,NA,NA,NA,NA,NA,97.6666666666667,32.6666666666667,100.333333333333,5,0.384,2.43153406872861
"11","Yasiel Puig","OF",21.7788641892308,NA,NA,NA,NA,NA,5.32546057479903,4.91500813813443,4.9178368204479,3.92669175447298,3.00234305262907,2.69386690137645,NA,NA,NA,NA,NA,93,22,87.3333333333333,14.3333333333333,0.377,2.69386690137645
"12","Miguel Cabrera","1B",21.6963517636269,NA,NA,NA,NA,NA,5.44670538868115,6.96236186351905,6.07560949559673,0.353455448376492,3.34016998340777,2.85821956745349,NA,NA,NA,NA,NA,95,30.6666666666667,106.666666666667,2,0.392,2.85821956745349
"13","Jacoby Ellsbury","OF",21.459486097054,NA,NA,NA,NA,NA,4.73944397436881,3.18263190896283,3.54048656897774,9.33483319072711,2.04141311619187,1.99692364474466,NA,NA,NA,NA,NA,83.3333333333333,14.6666666666667,64.3333333333333,33,0.334333333333333,1.99692364474466
"14","Ian Desmond","SS",21.3676434809207,NA,NA,NA,NA,NA,4.09280496699752,4.60003064192141,4.55852805919481,6.14789270150593,1.68857165515633,1.96838711130107,NA,NA,NA,NA,NA,72.6666666666667,20.6666666666667,81.3333333333333,22,0.318666666666667,1.96838711130107
"15","Adam Jones","OF",21.2659964583725,NA,NA,NA,NA,NA,4.94151866417233,6.41115124514627,5.19729919031141,2.57465639540944,1.73361524592682,2.14137096333308,NA,NA,NA,NA,NA,86.6666666666667,28.3333333333333,92,9.66666666666667,0.320666666666667,2.14137096333308
"16","Starling Marte","OF",20.9811341927304,NA,NA,NA,NA,NA,3.95135268413506,3.10388753490957,3.91975692807822,9.04511132807064,2.22909474440226,2.00613704560757,NA,NA,NA,NA,NA,70.3333333333333,14.3333333333333,70.6666666666667,32,0.342666666666667,2.00613704560757
"17","Christian Yelich","OF",20.9521336039485,NA,NA,NA,NA,NA,5.4669128576615,2.7101656646433,3.60037136251992,6.53418851838122,2.59695073569462,2.64049520074256,NA,NA,NA,NA,NA,95.3333333333333,12.6666666666667,65.3333333333333,23.3333333333333,0.359,2.64049520074256
"18","Jose Altuve","2B",20.8462012445204,NA,NA,NA,NA,NA,5.16380082295621,1.68648880195099,3.38079378619859,11.9423299546354,2.30416739568641,2.61511783341462,NA,NA,NA,NA,NA,90.3333333333333,8.33333333333333,61.6666666666667,42,0.346,2.61511783341462
"19","Anthony Rendon","3B",20.7978563257993,NA,NA,NA,NA,NA,5.62857260950432,4.60003064192141,4.61841285273699,3.54039593759768,2.52187808441047,2.41044428403893,NA,NA,NA,NA,NA,98,20.6666666666667,82.3333333333333,13,0.355666666666667,2.41044428403893
