"name","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"1","Zack Wheeler",11.3531848973818,4.3599129191444,-0.036909560283025,4.88897111145567,1.56844603841231,1.25305551952763,NA,NA,NA,NA,NA,NA,11,0,172.333333333333,3.52333333333333,1.27333333333333,NA,NA,NA,NA,NA,NA
"2","Zack Greinke",13.1542937176044,5.67078734995506,-0.036909560283025,5.24310482016183,2.21736006275653,2.00790039494719,NA,NA,NA,NA,NA,NA,14,0,183.666666666667,2.99,1.13,NA,NA,NA,NA,NA,NA
"3","Zack Cozart",6.83062412253191,NA,NA,NA,NA,NA,1.86998337915873,1.37151130573797,1.96352033903364,0.836325219470612,0.742656248975957,0.789283879130952,NA,NA,NA,NA,NA,36,7,38,3.66666666666667,0.276666666666667,0.789283879130952
"4","Zach Britton",8.24329182054833,1.00990048485051,4.47106902059221,1.36846541902385,2.20113721214793,1.49881896733865,NA,NA,NA,NA,NA,NA,3.33333333333333,38.5,59.6666666666667,3.00333333333333,1.22666666666667,NA,NA,NA,NA,NA,NA
"5","Yusmeiro Petit",6.93049852871843,2.02946948659213,-0.036909560283025,3.014145594776,1.71445169388976,2.1132275868662,NA,NA,NA,NA,NA,NA,5.66666666666667,0,112.333333333333,3.40333333333333,1.11,NA,NA,NA,NA,NA,NA
"6","Yunel Escobar",8.46787689591822,NA,NA,NA,NA,NA,2.33475516570685,1.37151130573797,2.50248348091327,0.836325219470612,1.76364430644049,1.42280172408952,NA,NA,NA,NA,NA,43.6666666666667,7,47,3.66666666666667,0.322,1.42280172408952
"7","Yu Darvish",9.20496602788331,3.19469120286827,-0.036909560283025,4.09737811552425,2.03485299340972,1.84990960706868,NA,NA,NA,NA,NA,NA,8.33333333333333,0,147,3.14,1.16,NA,NA,NA,NA,NA,NA
"8","Yovani Gallardo",10.574662785351,4.3599129191444,-0.036909560283025,4.11820951015403,0.814083485112159,0.937073943770602,NA,NA,NA,NA,NA,NA,11,0,147.666666666667,4.14333333333333,1.33333333333333,NA,NA,NA,NA,NA,NA
"9","Yordano Ventura",11.7429021442544,5.08817649181699,-0.036909560283025,4.53483740274951,1.46299750945638,1.21794645555462,NA,NA,NA,NA,NA,NA,12.6666666666667,0,161,3.61,1.28,NA,NA,NA,NA,NA,NA
"10","Yonder Alonso",10.9964026423068,NA,NA,NA,NA,NA,2.7793194832746,2.31644379437703,3.00152342709811,1.70549080744003,1.95132593465088,1.19362513011707,NA,NA,NA,NA,NA,51,11,55.3333333333333,6.66666666666667,0.330333333333333,1.19362513011707
"11","Yoervis Medina",3.30266212238019,1.00990048485051,-0.036909560283025,1.37888111633874,1.71039598123761,1.00729207171661,NA,NA,NA,NA,NA,NA,3.33333333333333,0,60,3.40666666666667,1.32,NA,NA,NA,NA,NA,NA
"12","Yoenis Cespedes",18.0595272178606,NA,NA,NA,NA,NA,4.3150871257814,5.3087300084007,4.79806723336354,1.80206476165885,1.62100626900059,1.8355780886561,NA,NA,NA,NA,NA,76.3333333333333,23.6666666666667,85.3333333333333,7,0.315666666666667,1.8355780886561
"13","Yasmani Grandal",10.414215612431,NA,NA,NA,NA,NA,2.96118670409778,3.10388753490957,3.14125461202987,0.160307539938844,2.28164560030117,1.04757922145494,NA,NA,NA,NA,NA,54,14.3333333333333,57.6666666666667,1.33333333333333,0.345,1.04757922145494
"14","Yasiel Puig",21.7788641892308,NA,NA,NA,NA,NA,5.32546057479903,4.91500813813443,4.9178368204479,3.92669175447298,3.00234305262907,2.69386690137645,NA,NA,NA,NA,NA,93,22,87.3333333333333,14.3333333333333,0.377,2.69386690137645
"15","Yangervis Solarte",6.63587873565743,NA,NA,NA,NA,NA,1.95081325508015,1.52900005384448,2.16313631750758,0.0637335857200205,1.75613704131207,0.929195523505206,NA,NA,NA,NA,NA,37.3333333333333,7.66666666666667,41.3333333333333,1,0.321666666666667,0.929195523505206
"16","Yan Gomes",11.930974394403,NA,NA,NA,NA,NA,3.30471367676377,3.81258690138886,3.60037136251992,0.0637335857200205,1.6735571248995,1.14956886801038,NA,NA,NA,NA,NA,59.6666666666667,17.3333333333333,65.3333333333333,1,0.318,1.14956886801038
