"name","position"
"1","Zack Greinke","SP"
"2","Zach Britton","RP"
"3","Yovani Gallardo","SP"
"4","Yordano Ventura","SP"
"5","Yoenis Cespedes","OF"
"6","Yasmany Tomas","3B"
"7","Yasmani Grandal","C"
"8","Yasiel Puig","OF"
"9","Yan Gomes","C"
"10","Yadier Molina","C"
"11","Xander Bogaerts","SS"
"12","Wily Peralta","SP"
"13","Wilin Rosario","C"
"14","Wil Myers","OF"
"15","Wei-Yin Chen","SP"
"16","Wade Miley","SP"
"17","Victor Martinez","DH"
"18","Tyson Ross","SP"
"19","Tyler Clippard","RP"
"20","Troy Tulowitzki","SS"
"21","Trevor Rosenthal","RP"
"22","Trevor Plouffe","3B"
"23","Trevor Bauer","SP"
"24","Travis Snider","OF"
"25","Travis d'Arnaud","C"
"26","Torii Hunter","OF"
"27","Todd Frazier","3B"
"28","Tanner Roark","SP"
"29","Taijuan Walker","SP"
"30","Steven Souza","OF"
"31","Steve Pearce","1B"
"32","Steve Cishek","RP"
"33","Stephen Vogt","1B"
"34","Stephen Strasburg","SP"
"35","Starling Marte","OF"
"36","Starlin Castro","SS"
"37","Sonny Gray","SP"
"38","Shin-Soo Choo","OF"
"39","Shelby Miller","SP"
"40","Shane Greene","SP"
"41","Sean Doolittle","RP"
"42","Scott Kazmir","SP"
"43","Scooter Gennett","2B"
"44","Santiago Casilla","RP"
"45","Salvador Perez","C"
"46","Ryan Zimmerman","OF"
"47","Ryan Braun","OF"
"48","Russell Martin","C"
"49","Rusney Castillo","OF"
"50","Rougned Odor","2B"
"51","Robinson Cano","2B"
"52","Rick Porcello","SP"
"53","Raisel Iglesias","SP"
"54","R.A. Dickey","SP"
"55","Prince Fielder","1B"
"56","Phil Hughes","SP"
"57","Pedro Alvarez","3B"
"58","Paul Goldschmidt","1B"
"59","Pablo Sandoval","3B"
"60","Oswaldo Arcia","OF"
"61","Nolan Arenado","3B"
"62","Noah Syndergaard","SP"
"63","Nick Markakis","OF"
"64","Nick Castellanos","3B"
"65","Nelson Cruz","DH"
"66","Neil Walker","2B"
"67","Neftali Feliz","RP"
"68","Nathan Eovaldi","SP"
"69","Mookie Betts","OF"
"70","Mike Trout","OF"
"71","Mike Napoli","1B"
"72","Mike Minor","SP"
"73","Mike Leake","SP"
"74","Mike Fiers","RP"
"75","Miguel Montero","C"
"76","Miguel Cabrera","1B"
"77","Michael Wacha","SP"
"78","Michael Pineda","SP"
"79","Michael Cuddyer","OF"
"80","Michael Brantley","OF"
"81","Melky Cabrera","OF"
"82","Max Scherzer","SP"
"83","Matt Wieters","C"
"84","Matt Shoemaker","SP"
"85","Matt Kemp","OF"
"86","Matt Holliday","OF"
"87","Matt Harvey","SP"
"88","Matt Garza","SP"
"89","Matt Carpenter","3B"
"90","Matt Cain","SP"
"91","Matt Adams","1B"
"92","Mat Latos","SP"
"93","Masahiro Tanaka","SP"
"94","Martin Prado","2B"
"95","Marlon Byrd","OF"
"96","Mark Trumbo","OF"
"97","Mark Teixeira","1B"
"98","Mark Melancon","RP"
"99","Marcus Semien","3B"
"100","Marcell Ozuna","OF"
"101","Manny Machado","3B"
"102","Madison Bumgarner","SP"
"103","Luke Gregerson","RP"
"104","Lucas Duda","1B"
"105","Lance Lynn","SP"
"106","Kyle Seager","3B"
"107","Kyle Lohse","SP"
"108","Kyle Hendricks","SP"
"109","Kris Bryant","3B"
"110","Kolten Wong","2B"
"111","Kole Calhoun","OF"
"112","Koji Uehara","RP"
"113","Kevin Gausman","SP"
"114","Kennys Vargas","DH"
"115","Kenley Jansen","RP"
"116","Kendall Graveman","SP"
"117","Ken Giles","RP"
"118","Justin Verlander","SP"
"119","Justin Upton","OF"
"120","Justin Morneau","1B"
"121","Justin Masterson","SP"
"122","Julio Teheran","SP"
"123","Josh Harrison","3B"
"124","Josh Donaldson","3B"
"125","Jose Reyes","SS"
"126","Jose Quintana","SP"
"127","Jose Fernandez","SP"
"128","Jose Bautista","OF"
"129","Jose Altuve","2B"
"130","Jose Abreu","1B"
"131","Jorge Soler","OF"
"132","Jordan Zimmermann","SP"
"133","Jonathan Papelbon","RP"
"134","Jonathan Lucroy","C"
"135","Jon Lester","SP"
"136","Johnny Cueto","SP"
"137","John Lackey","SP"
"138","Joey Votto","1B"
"139","Joe Nathan","RP"
"140","Joe Mauer","1B"
"141","Joc Pederson","OF"
"142","Joaquin Benoit","RP"
