"name","position","perf.index","std.w","std.sv","std.k","std.era","std.whip","std.r","std.hr","std.rbi","std.sb","std.obp","std.w.obp","w","sv","k","era","whip","r","hr","rbi","sb","obp","w.obp"
"1","Clayton Kershaw","SP",16.6652095996082,7.12731449530023,-0.036909560283025,7.17000882341593,3.07717114501262,2.85051793029926,NA,NA,NA,NA,NA,NA,17.3333333333333,0,245.333333333333,2.28333333333333,0.97,NA,NA,NA,NA,NA,NA
"2","Max Scherzer","SP",15.8870567081406,6.54470363716216,-0.036909560283025,7.05543615295217,2.33092001701677,2.25366384275821,NA,NA,NA,NA,NA,NA,16,0,241.666666666667,2.89666666666667,1.08333333333333,NA,NA,NA,NA,NA,NA
"3","Felix Hernandez","SP",15.0236869221037,6.10774549355861,-0.036909560283025,6.59714547109714,2.50937137371143,2.37654556666372,NA,NA,NA,NA,NA,NA,15,0,227,2.75,1.06,NA,NA,NA,NA,NA,NA
"4","Corey Kluber","SP",14.9280351741543,6.10774549355861,-0.036909560283025,6.54506698452271,2.16463579827856,2.0956730548797,NA,NA,NA,NA,NA,NA,15,0,225.333333333333,3.03333333333333,1.11333333333333,NA,NA,NA,NA,NA,NA
"5","Chris Sale","SP",14.7480658225712,5.81644006448957,-0.036909560283025,6.64922395767158,2.38769999414689,2.35899103467722,NA,NA,NA,NA,NA,NA,14.3333333333333,0,228.666666666667,2.85,1.06333333333333,NA,NA,NA,NA,NA,NA
"6","David Price","SP",14.6492161466226,6.25339820809313,-0.036909560283025,6.12843909192723,1.74284168245482,2.07811852289319,NA,NA,NA,NA,NA,NA,15.3333333333333,0,212,3.38,1.11666666666667,NA,NA,NA,NA,NA,NA
"7","Madison Bumgarner","SP",14.4753357146706,6.10774549355861,-0.036909560283025,6.07636060535279,2.34308715497323,2.23610931077171,NA,NA,NA,NA,NA,NA,15,0,210.333333333333,2.88666666666667,1.08666666666667,NA,NA,NA,NA,NA,NA
"8","Stephen Strasburg","SP",14.4706600532386,5.81644006448957,-0.036909560283025,6.39924722211429,2.20924863745223,2.25366384275821,NA,NA,NA,NA,NA,NA,14.3333333333333,0,220.666666666667,2.99666666666667,1.08333333333333,NA,NA,NA,NA,NA,NA
"9","Jon Lester","SP",13.7321443233743,5.81644006448957,-0.036909560283025,5.65973271275731,2.01457443014896,1.81480054309567,NA,NA,NA,NA,NA,NA,14.3333333333333,0,197,3.15666666666667,1.16666666666667,NA,NA,NA,NA,NA,NA
"10","Johnny Cueto","SP",13.1719157612927,5.81644006448957,-0.036909560283025,5.1077007550683,2.24980576397374,2.06056399090669,NA,NA,NA,NA,NA,NA,14.3333333333333,0,179.333333333333,2.96333333333333,1.12,NA,NA,NA,NA,NA,NA
"11","Zack Greinke","SP",13.1542937176044,5.67078734995506,-0.036909560283025,5.24310482016183,2.21736006275653,2.00790039494719,NA,NA,NA,NA,NA,NA,14,0,183.666666666667,2.99,1.13,NA,NA,NA,NA,NA,NA
