"","crashDates","crashLocation","crashOperator","crashType","crashOutcome","crashF","crashP","Prop","crashYear"
"1",1950-01-05,"Sverdlovsk, Russia","Military - Soviet Air Force
"," Lisunov Li-2","19/19(0)",19,19,1,"1950"
"2",1950-01-18,"Albacete, Spain","Ejercito del Aire
","Junkers JU-52/3m","16/16(0)",16,16,1,"1950"
"3",1950-01-20,"Vacas, Bolivia","Military - Bolivian Air Force
","Douglas C-47","32/32(0)",32,32,1,"1950"
"4",1950-01-24,"Tamatave, Madagascar","Societe Transatlantique Aerienne
","Douglas C-47A-50-DL","14/14(0)",14,14,1,"1950"
"5",1950-01-24,"Iloilo,Philippines","Philippine Air Lines
","Douglas DC-3","4/4(0)",4,4,1,"1950"
"6",1950-01-26,"Snag, Yukon Territory","Military - U.S. Air Force
","Douglas C-54D-DC (DC-4)","44/44(0)",44,44,1,"1950"
"7",1950-02-02,"North Sea","KLM Royal Dutch Airlines
","Douglas DC-3","7/7(0)",7,7,1,"1950"
"8",1950-02-27,"Prague, Czechoslovakia","Ceskoslovenske Aerolinie
","Douglas C-47A-15-DK","5/5(0)",5,5,1,"1950"
"9",1950-03-07,"Minneapolis, Minnesota","Northwest Orient Airlines
","Martin 202","13/13(2)",13,13,1,"1950"
"10",1950-03-10,"Saigon, Vietnam","Societe Indochinoise de Transport Aeriens
","Bristol 170 Freighter 21","4/4(0)",4,4,1,"1950"
"11",1950-03-12,"Llandow Airport, Cardiff, Wales","Fairflight Ltd.
","Avro 689 Tudor 5","80/83(0)",80,83,0.96,"1950"
"12",1950-03-25,"Ankara, Turkey","Devlet Hava Yollairi
","Douglas DC-3","15/15(0)",15,15,1,"1950"
"13",1950-03-28,"Cap-Ferret, France","SEMAF
","Latecoere 631 (sea plane)","12/12(0)",12,12,1,"1950"
"14",1950-04-05,"Hatiara, India","Deccan Airways
","Douglas C-47A","3/3(0)",3,3,1,"1950"
"15",1950-04-13,"Hastings, England","British European Airways
","Vickers 610 Viking 1B","0/32(0)",0,32,0,"1950"
"16",1950-04-15,"Santa Ana, Colombia","Lineas Aéreas Nacionales
","Douglas C-47 (DC-3)","25/25(0)",25,25,1,"1950"
"17",1950-04-21,"Atsugi, Japan","Military - U.S. Air Force
","Douglas C-54D","35/35(0)",35,35,1,"1950"
"18",1950-05-02,"Chimborazo, Ecuador","AVIANCA
","Douglas C-47DL","15/15(0)",15,15,1,"1950"
"19",1950-05-17,"Lagens Air Force Base, Azores","Military - U.S. Air Force
","Boeing B-29","16/16(0)",16,16,1,"1950"
"20",1950-05-23,"Myrtle Beach, South Carolina","Military - U.S. Air Force
","Curtiss C-46D","39/39(0)",39,39,1,"1950"
"21",1950-05-24,"Pasto, Colombia","LANSA
","Douglas C-47","25/26(0)",25,26,0.96,"1950"
"22",1950-05-27,"Teterboro, New Jersey","Regina Cargo Airlines
","Curtiss C-46F-1-CU","1/2(0)",1,2,0.5,"1950"
"23",1950-05-30,"Ilheus, Brazil","Aerovias Brasil
","Douglas DC-3","13/15(0)",13,15,0.87,"1950"
