Scopus-16729-Analyze-Source

"Your query : (SUBJAREA(psyc))"


Number of results : 16729

"SOURCE TITLE",
"Journal of Neurology Neurosurgery and Psychiatry","469"
"Perceptual and Motor Skills","403"
"Social Science and Medicine","357"
"Psychological Reports","328"
"European Neuropsychopharmacology","310"
"Journal of Clinical Psychiatry","244"
"Pain","218"
"Personality and Individual Differences","211"
"Journal of the American Academy of Child and Adolescent Psychiatry","200"
"Neurobiology of Aging","191"
"Japanese Journal of Psychiatry and Neurology","188"
"International Immunology","185"
"Journal of Personality and Social Psychology","170"
"Annals of Oncology","159"
"Ergonomics","154"
"Journal of Consulting and Clinical Psychology","149"
"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I P Pavlova","142"
"American Psychologist","131"
"Neuropsychologia","124"
"Perception Psychophysics","124"
"Child Abuse and Neglect","122"
"Neuropsychiatrie De L Enfance Et De L Adolescence","122"
"Behavioral Neuroscience","119"
"Perception","118"
"Journal of Brain Research","115"
"Child Development","113"
"Journal of Clinical Psychology","113"
"Behaviour Research and Therapy","113"
"Psychiatry Research","112"
"Journal of Psychosomatic Research","112"
"Journal of Experimental Psychology Learning Memory and Cognition","104"
"Journal of Applied Psychology","103"
"Annales Medico Psychologiques","98"
"Journal of Studies on Alcohol","98"
"Psychological Medicine","96"
"Journal of Abnormal Psychology","94"
"Journal of Affective Disorders","93"
"Schizophrenia Research","92"
"International Journal of Eating Disorders","91"
"Sex Roles","91"
"International Journal of Psycho Analysis","90"
"Organizational Behavior and Human Decision Processes","90"
"Developmental Psychology","90"
"Journal of Clinical and Experimental Neuropsychology","88"
"Journal of Child Psychology and Psychiatry and Allied Disciplines","85"
"Medical Engineering and Physics","83"
"Neurologia Psichiatria Scienze Umane","81"
"Journal of Experimental Psychology Human Perception and Performance","80"
"International Journal of Obstetric Anesthesia","78"
"Adolescence","78"
"Psychosomatics","78"
"International Journal of Human Computer Studies","77"
"Behavioral Healthcare Tomorrow","76"
"Psychosomatic Medicine","76"
"Journal of Business Research","73"
"Comprehensive Psychiatry","72"
"Behavior Research Methods Instruments Computers","69"
"Journal of Personality Assessment","68"
"Neuropsychobiology","68"
"TW Neurologie Psychiatrie","68"
"Psychophysiology","68"
"European Archives of Psychiatry and Clinical Neuroscience","67"
"Professional Psychology Research and Practice","66"
"Human Psychopharmacology","66"
"Psychoneuroendocrinology","65"
"Addictive Behaviors","65"
"Journal of Geriatric Psychiatry and Neurology","65"
"Neuropsychology","64"
"Journal of Neuropsychiatry and Clinical Neurosciences","64"
"Brain and Cognition","64"
"Ppmp Psychotherapie Psychosomatik Medizinische Psychologie","64"
"Seizure","63"
"Glycobiology","63"
"Journal of Pragmatics","63"
"Technological Forecasting and Social Change","63"
"Health Psychology","62"
"British Journal of Clinical Psychology","62"
"Journal of Traumatic Stress","61"
"Journal of Counseling Psychology","60"
"Brain and Language","59"
"American Journal of Orthopsychiatry","58"
"Journal of Autism and Developmental Disorders","58"
"Journal of Developmental and Behavioral Pediatrics","58"
"Journal of Social Psychology","58"
"Psychology and Aging","57"
"Dementia","57"
"Psychological Review","55"
"Zhurnal Nevropatologii I Psikhiatrii Imeni S S Korsakova","55"
"Journal of the American Psychoanalytic Association","55"
"Hormones and Behavior","54"
"Cognition","54"
"Speech Communication","54"
"Psychological Bulletin","54"
"Journal of Educational Psychology","54"
"Industrial Law Journal","53"
"Psychological Assessment","52"
"Advances in Psychology","52"
"Journal of Pediatric Psychology","52"
"Infant Behavior and Development","52"
"Psychotherapy and Psychosomatics","51"
"Evaluation and Program Planning","51"
"Research Quarterly for Exercise and Sport","50"
"Human Factors","49"
"Behavior Genetics","48"
"Psychonomic Bulletin Review","48"
"Irish Journal of Psychological Medicine","48"
"Journal of Applied Behavior Analysis","47"
"American Journal of Psychotherapy","47"
"Psychopathology","47"
"Neuropsychiatry Neuropsychology and Behavioral Neurology","46"
"Praxis Der Kinderpsychologie Und Kinderpsychiatrie","46"
"International Journal of Aging and Human Development","46"
"Computers in Human Behavior","46"
"Journal of Experimental Child Psychology","45"
"Journal of Adolescence","45"
"Journal of Psychoactive Drugs","45"
"Human Movement Science","45"
"Current Anaesthesia and Critical Care","44"
"Elt Journal","44"
"Journal of Abnormal Child Psychology","44"
"Shinrigaku Kenkyu the Japanese Journal of Psychology","44"
"Law and Human Behavior","44"
"Occupational Medicine","43"
"Bulletin of the Menninger Clinic","43"
"Psychotherapeut","43"
"Journal of Behavior Therapy and Experimental Psychiatry","43"
"Journal of Psychology","43"
"Dth","42"
"American Journal of Community Psychology","42"
"Psyche","42"
"Journal of Psychiatric Research","42"
"Restorative Neurology and Neuroscience","41"
"Schweizer Archiv Fur Neurologie Und Psychiatrie","41"
"Acta Psychologica","41"
"Behavior Therapy","41"
"Archives of Sexual Behavior","41"
"Journal of Criminal Justice","40"
"Integrative Physiological and Behavioral Science","40"
"Intelligence","40"
"Arts in Psychotherapy","40"
"Journal of the Experimental Analysis of Behavior","40"
"Journal of Memory and Language","39"
"Journal of Applied Developmental Psychology","39"
"Neuropsychological Rehabilitation","38"
"Psychological Research","38"
"Death Studies","38"
"Journal of Family Psychology","38"
"Journal of Vocational Behavior","37"
"Psychometrika","37"
"Contemporary Family Therapy","37"
"Accounting Organizations and Society","37"
"American Journal of Drug and Alcohol Abuse","37"
"Consulting Psychology Journal","36"
"Journal of Career Development","36"
"Cognitive Therapy and Research","36"
"Journal of Research in Personality","36"
"Journal of Youth and Adolescence","36"
"Kind En Adolescent","36"
