Scopus-24873-Analyze-Source

"Your query : (SUBJAREA(psyc))"


Number of results : 24873

"SOURCE TITLE",
"Perceptual and Motor Skills","524"
"Psychological Reports","483"
"American Journal of Medical Genetics","392"
"Journal of Neurology Neurosurgery and Psychiatry","385"
"Social Science and Medicine","326"
"Pain","307"
"Journal of Clinical Psychiatry","279"
"Brain and Language","254"
"Journal of the American Academy of Child and Adolescent Psychiatry","251"
"Personality and Individual Differences","217"
"Child Development","206"
"Brain and Cognition","172"
"Journal of Consulting and Clinical Psychology","162"
"Zhurnal Vysshei Nervnoi Deiatelnosti Imeni I P Pavlova","140"
"Psychiatry Research","139"
"Behavioral Neuroscience","139"
"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I P Pavlova","137"
"Schizophrenia Research","136"
"Neuropsychologia","135"
"American Journal of Medical Genetics Seminars in Medical Genetics","135"
"International Psychogeriatrics","135"
"Psychological Medicine","127"
"European Neuropsychopharmacology","125"
"International Journal of Psycho Analysis","124"
"Journal of Psychosomatic Research","124"
"Early Child Development and Care","123"
"Journal of Affective Disorders","122"
"Neurobiology of Aging","122"
"Journal of Applied Social Psychology","116"
"Perception","110"
"Developmental Psychology","105"
"Behaviour Research and Therapy","104"
"Ergonomics","104"
"Personality and Social Psychology Bulletin","103"
"Journal of Counseling and Development","102"
"Child Abuse and Neglect","101"
"Substance Use and Misuse","101"
"International Journal of Eating Disorders","101"
"American Psychologist","100"
"Sex Roles","97"
"Journal of Experimental Psychology Learning Memory and Cognition","96"
"Journal of Social Psychology","95"
"Journal of Experimental Psychology Human Perception and Performance","94"
"Organizational Behavior and Human Decision Processes","94"
"Journal of Child Psychology and Psychiatry and Allied Disciplines","93"
"Advances in Psychology","93"
"Behavioral Healthcare Tomorrow","92"
"Professional Psychology Research and Practice","92"
"Journal of Personality Assessment","90"
"Medical Engineering and Physics","90"
"TW Neurologie Psychiatrie","90"
"Annales Medico Psychologiques","90"
"Perception and Psychophysics","89"
"CNS Drugs","89"
"Journal of Clinical Psychology","88"
"Journal of Developmental and Behavioral Pediatrics","86"
"Cognitive Brain Research","85"
"Journal of Studies on Alcohol","84"
"Adolescence","83"
"Educational and Psychological Measurement","83"
"Journal of Social Behavior and Personality","82"
"Neuropsychiatrie De L Enfance Et De L Adolescence","80"
"Psychophysiology","80"
"Addictive Behaviors","79"
"Human Psychopharmacology","78"
"Feminism and Psychology","78"
"Journals of Gerontology Series B Psychological Sciences and Social Sciences","76"
"Journal of Neuropsychiatry and Clinical Neurosciences","75"
"Psicothema","75"
"Journal of Abnormal Psychology","75"
"Psychosomatics","74"
"Neuropsychobiology","72"
"Journal of Applied Psychology","71"
"Journal of Business Research","71"
"Psychology and Health","71"
"Psychosomatic Medicine","71"
"Neurobiology of Learning and Memory","70"
"Research Quarterly for Exercise and Sport","70"
"Neurodegeneration","68"
"Journal of Clinical and Experimental Neuropsychology","67"
"American Behavioral Scientist","67"
"Psychology and Aging","66"
"Behavior Research Methods Instruments and Computers","66"
"Journal of Autism and Developmental Disorders","65"
"International Journal of Human Computer Studies","65"
"American Journal of Orthopsychiatry","65"
"Journal of the American Psychoanalytic Association","65"
"Journal of Traumatic Stress","65"
"Acta Psychologica","64"
"Hormones and Behavior","64"
"Journal of Pragmatics","64"
"European Journal of Social Psychology","64"
"Comprehensive Psychiatry","63"
"Neuropsychology","62"
"Speech Communication","60"
"Family Journal","60"
"Psychological Assessment","59"
"Women and Therapy","59"
"Journal of Pediatric Psychology","59"
"Journal of Applied Behavior Analysis","58"
"Journal of Psychology Interdisciplinary and Applied","58"
"Teaching of Psychology","58"
"International Journal of Obstetric Anesthesia","58"
"Health Psychology","58"
"Journal of the Experimental Analysis of Behavior","58"
"Ppmp Psychotherapie Psychosomatik Medizinische Psychologie","58"
"Shinrigaku Kenkyu","57"
"Dementia","57"
"British Journal of Educational Psychology","56"
"Infant Behavior and Development","56"
"Psychoneuroendocrinology","56"
"Journal of Educational Psychology","55"
"Psikhologicheskii Zhurnal","55"
"Journal of Experimental Child Psychology","55"
"Archives of Clinical Neuropsychology","55"
"Experimental and Clinical Psychopharmacology","55"
"Behavior Genetics","54"
"Journal of Counseling Psychology","54"
"Psychological Science","54"
"British Journal of Clinical Psychology","53"
"European Archives of Psychiatry and Clinical Neuroscience","53"
"Psychopathology","53"
"Quarterly Journal of Experimental Psychology Section A Human Experimental Psychology","53"
"Irish Journal of Psychological Medicine","52"
"Human Factors","52"
"Memory and Cognition","52"
"Seizure","52"
"Ceskoslovenska Psychologie","51"
"Theory and Psychology","51"
"Psychotherapy and Psychosomatics","51"
"Biological Psychology","51"
"Current Anaesthesia and Critical Care","50"
"Journal of the International Neuropsychological Society","50"
"Psyche","50"
"Psychonomic Bulletin and Review","50"
"ANAE Approche Neuropsychologique Des Apprentissages Chez L Enfant","50"
"Journal of Homosexuality","49"
"Technological Forecasting and Social Change","49"
"International Journal of Mental Health","49"
"Japanese Journal of Educational Psychology","48"
"Journal of Youth and Adolescence","48"
"Journal of Adolescence","48"
"Psychological Bulletin","47"
"Development and Psychopathology","47"
"International Journal of Behavioral Development","47"
"Assessment","46"
"Cognition","46"
"Developmental Psychobiology","46"
"Journal of Abnormal Child Psychology","46"
"Journal of Memory and Language","45"
"Journal of Comparative Psychology","45"
"Early Childhood Education Journal","45"
"Applied Cognitive Psychology","44"
"Psycoloquy","44"
"Journal of Psychiatric Research","44"
"European Child and Adolescent Psychiatry","44"
"Neuropsychiatry Neuropsychology and Behavioral Neurology","44"
"Psychotherapeut","43"
"Social Behavior and Personality","43"
"Human Movement Science","43"
