|horoscope|pub_date|zodiac
0|What is your fondest dream? What is it you would give up everything to do if the opportunity came your way? Well, get ready because the approaching new moon suggests you will soon get the chance. Make your dream a reality.|12-01-2013|aquarius
1|Just because something is new-fangled or fashionable does not mean it is good. Keep that thought in mind and if you are confronted with a choice between something old and dull and something new and exciting, go for the old and dull.|12-02-2013|aquarius
2|Some people react well to criticism and some people don’t and the planets warn you need to watch what you say over the next 24 hours. Not everyone appreciates your directness and honesty, especially when it hurts them personally.|12-03-2013|aquarius
3|You are advised not to make any hasty decisions today. You may believe you know all the facts but the planets warn there is one little thing you have overlooked – and that one little thing could have very big consequences.|12-04-2013|aquarius
4|Friendships and social activities are under excellent stars at the moment but don’t sit there waiting for other people to make things happen – get out into the world and make them happen yourself. A sense of adventure will take you a long way.  |12-05-2013|aquarius
5|There is no point complaining about a certain person’s behavior when what they are doing now is what they did yesterday and the day before that. It’s obviously in their nature, so either accept it or move away from their influence. |12-06-2013|aquarius
6|It may be easy to feel sorry for someone who has fallen on hard times but the fact is it’s largely their own fault, so don’t shed too many tears. Help them find a solution by all means but don’t let your own guilt feelings kick in.|12-07-2013|aquarius
7|Whatever else you do this week do NOT give in to emotional blackmail. If others get the impression that you are easily swayed they won’t leave you alone for a moment. Get tough with them early and the next few days will be fine. |12-08-2013|aquarius
8|Try not to get excited about something that is not important today or you may miss out on something that is. There are so many distractions in your life at the moment that your brain cannot possibly keep track of them all.|12-09-2013|aquarius
9|You need to bring your plans up to date. Sit down with a pen and a piece of paper and write down your top three objectives. Then map out how you are going to get from where you are now to where you want to be. Then do it.|12-10-2013|aquarius
10|Whatever it is you hear today you must make an effort to read between the lines, because what is not being said is likely to be ten times more important than what is being said. Watch other people’s body language – it will tell you a lot.|12-11-2013|aquarius
11|You will have to work twice as hard today to catch up with the things you should have done yesterday. However, if you knuckle down and apply yourself you may actually get ahead – and get a big reward for your efforts tomorrow.|12-12-2013|aquarius
12|You will have to accept that you won’t get things all your own way, especially at work where certain individuals seem to take a delight in being unreasonable. The good news is it’s only a passing phase, so don’t blow your top.|12-13-2013|aquarius
13|The cosmic omens are all in your favor this weekend and the more pressure you are under the more you will accomplish. Think big, act big and don’t let other people’s small-minded ways stop you from making your mark on the world.|12-14-2013|aquarius
14|This week’s full moon will have people doing all sorts of weird and wonderful things, but if you can keep your feelings in check and think logically about what happens you will be in a position to take advantage of the situation|12-15-2013|aquarius
15|The answers you seek are not that hard to find but you will surely find them quicker today if you get some assistance. And don’t make things too complicated for yourself – the simplest answers are nearly always the best.|12-16-2013|aquarius
16|Today’s full moon indicates that your differences with a certain person are too wide and too strong to pretend that they do not exist. If a parting of the ways is necessary so be it. In the long-term you will both be better off for it.|12-17-2013|aquarius
17|Delays of one sort or another are likely over the next 24 hours but while it may be frustrating it could also inspire you to try a different route. Ultimately all roads lead to the same destination, so stop complaining and get on with it.|12-18-2013|aquarius
18|Spend as much time as you can with your friends today because you may not get so many opportunities to be sociable in the days and weeks to follow. Don’t expect anything of them, or of yourself – just go out and have fun together.|12-19-2013|aquarius
19|A minor dispute could easily get out of hand today, especially if you insist that you are in the right and everyone else is wrong. You’re not the only one who is stubborn, so a standoff is likely. Someone needs to back down.|12-20-2013|aquarius
20|On one level you will be the life and soul of the party this weekend, but on another your focus will turn inward and you will start asking yourself the kind of questions that no amount of partying can answer. It’s time to get serious.|12-21-2013|aquarius
21|Do what you can for other people this week, especially those who are in some way less fortunate than you. No matter what your own problems may be there are millions, maybe billions, who would happily trade places with you.|12-22-2013|aquarius
22|Keep your thoughts to yourself as the new week begins, even if you are the sort of Aquarius who enjoys discussing your ideas and beliefs with other people. The universe is trying to send you a message, so be quiet and listen.|12-23-2013|aquarius
23|What happens today will convince you that life is good and about to get even better. The only reason your thoughts have been so negative of late is because you have allowed your emotions to blot out common sense. Time to rebalance. |12-24-2013|aquarius
24|The harder you try to figure something out the more of a headache it gives you. So stop trying. Some things don’t have an easy answer. Some things don’t have an answer at all. In the greater scheme of things does it really matter? No!|12-25-2013|aquarius
25|If your present approach to a personal or professional problem is not working then clearly you need to tackle it from a different angle. Some people say you are too inflexible, too set in your ways to change. Prove them wrong.|12-26-2013|aquarius
26|If someone comes to you for assistance you will go out of your way to help them. But don’t go so far that you spend all your time and energy on their problems and none on your own. And watch how much money you spend too.|12-27-2013|aquarius
27|You may not be enthusiastic about a task you are being asked to perform but you need to buck up your ideas because if you go into it with a negative attitude the results will be less than pleasing. Treat it as a game – after all, that’s what life is.|12-28-2013|aquarius
28|The new year is almost here and everyone is singing and dancing but make sure you set aside a few private moments for yourself. Thinking is important to you but if there is a party going on at full volume you won’t get much done.|12-29-2013|aquarius
29|If a friend wants to wallow in self-pity today then let them get on with it. No matter what you say to cheer them up they are in no mood to listen, so don’t waste your breath. Maybe, perversely, it’s what makes them feel good.|12-30-2013|aquarius
30|You will be easily provoked today, especially if you think someone is taking liberties at your expense. The only danger is you may get the wrong end of the stick and react to a provocation that exists nowhere but in your own mind. |12-31-2013|aquarius
31|Cosmic activity in the most sensitive area of your chart will bring challenges of an emotional nature. Don’t be afraid to let others know how you feel, even if you have to raise your voice, because only then will they take you seriously.|01-01-2014|aquarius
32|Take care not to say too much when talking to people you are not sure you can trust. You like to natter, it’s part of your nature, but if you say too much you could  undermine your own position. Don’t forget: knowledge is power.|01-02-2014|aquarius
33|For some reason you appear to believe that you are surrounded by enemies, that the whole wide world is against you. Stop the foolish imaginings and look on the bright side for a change. Life is what you choose to make of it.|01-03-2014|aquarius
34|For some strange reason you have a tendency at the moment to see the worst in every situation. Your anxiety will disappear next week but, in the meantime, keep reminding yourself that life is to be enjoyed and that it’s really all good.|01-04-2014|aquarius
35|You may be incredibly ambitious but don’t be too pushy this coming week or you could make enemies of people who should be friends. Remember, the best way to help yourself is to help others first. It’s good business and good politics.|01-05-2014|aquarius
36|You tend to fear the worst at this time of year, so don’t be surprised if you find yourself a bit hesitant as the new week begins. The good news is the tide is already beginning to turn and come the weekend you’ll be your old self again.|01-06-2014|aquarius
37|What you have to do today may seem boring, but if you do it well, you will come to the attention of powerful people and, in the long-term, the rewards will be worth the effort many times over. Invest some time in your future. |01-07-2014|aquarius
38|You may think that someone is keeping something from you, and maybe they are, but don’t let it worry you. It’s unlikely to be bad news and it’s even possible they are planning some kind of surprise. Don’t spoil it by peeking too soon.|01-08-2014|aquarius
39|You may think you can do as you please at the moment but you are kidding yourself and today’s events will bring that fact home to you sharply. There are forces operating behind the scenes that limit your options. Be aware of that fact.|01-09-2014|aquarius
40|Don’t reject an idea just because it seems impractical. It may look that way at the moment but a few days from now you will see it in a different light, one that makes you realize that if you want something enough you can find a way to get it.|01-10-2014|aquarius
41||01-11-2014|aquarius
42|Everyone seems to have an opinion about what is wrong with your life but they might as well save their breath. As far as you are concerned this is just a temporary storm and in a matter of days everything will be sunshine and light again.|01-12-2014|aquarius
43|You will get the chance to help someone in need and you won’t think twice about it. However, it might be wise to make clear that you expect them to look after themselves after that. You don’t want them getting at you every day!|01-13-2014|aquarius
44|Sometimes you can be too suspicious for your own good and as the Sun moves through the most secretive area of your chart you must not let the more distrustful side of your nature take control. In the long-term you’re the one who will suffer.|01-14-2014|aquarius
45|You seem to be in a fighting mood at the moment but don’t lose sight of the fact that while some things are worth fighting for, other things are not. Pick your battles carefully and, most importantly, make sure your enemy is worthy.|01-15-2014|aquarius
46|Today’s full moon urges you to get your head out of the clouds and focus on the facts of your current situation. You will have to tighten your belt financially over the next few weeks but it will only hurt if your attitude is wrong.|01-16-2014|aquarius
47|The best way to help yourself today is to help other people. With mind planet Mercury linked nicely to your ruler Uranus you have a knack for knowing what those around you need – and will go out of your way to get it for them.|01-17-2014|aquarius
48|A new phase is about to begin but before it does there is something you must get out of the way. No doubt you would prefer to ignore it, but if you do you will regret it later. Remember, it’s the little things that have the biggest impact.|01-18-2014|aquarius
49|No matter how daunting the challenges you have to face you will win through with ease. The Sun moves into your birth sign on Monday and your courage and confidence will go off the scale. Look out world, Aquarius is back!|01-19-2014|aquarius
50|The Sun moves into your birth sign today, heralding the start of an extremely busy and fun time in your life. The things you do over the next few weeks will determine the level of success you enjoy over the few years, so do them well.|01-20-2014|aquarius
51|This is one of the most important times of the year for you and the Sun in your sign will see to it that whatever you decide to do is endowed with extra power. Aim to do good things for others and good things will come your way too.|01-21-2014|aquarius
52|There may be a thousand things in this life that delight you but there is one thing only that demands your attention over the coming 12 months. You know what it is and you know why it is so important, so make a start on it today, and then just keep going.|01-22-2014|aquarius
53|It does not matter that others do not believe in what you are doing – the only thing that matters is that you believe in it. The whole world could be against you now but you will still come out on top. That’s a promise from the stars.|01-23-2014|aquarius
54|In the eyes of the world you can do no wrong, so be more adventurous and don’t worry if you tread on other people’s toes – most likely they will apologize to you! In every way you are moving faster than just about anyone and everyone.|01-24-2014|aquarius
55|You may at times wonder if you are on the right track and making the most of your talents but you will push ahead regardless. This time next year you will look back and marvel at how far you have come – and give yourself a pat on the back for staying the course.|01-25-2014|aquarius
56|A new moon in your sign in midweek indicates a new start in whatever area you think most needs to change. With Uranus, your ruler, on great form as well there will be events that both surprise and delight you. It’s all good.|01-26-2014|aquarius
57|The world is yours for the taking – all you have to do is identify what it is you most want to accomplish then just get on and make it happen. Can it really be that easy? Yes it can and by this time next year chances are you will be both famous and rich.|01-27-2014|aquarius
58|There is no point playing safe. On the contrary, you should seek out situations that test what you are capable of, because it is only by being tested that you will realize how much you can do – about ten times as much as you are doing right now!|01-28-2014|aquarius
59|Wherever you are and whatever you happen to be doing now, you will be somewhere else doing something completely different 12 months from now. You have always wanted to travel and be unusual. You’re about to get your chance.|01-29-2014|aquarius
60|Today’s new moon in your sign marks this out as the perfect time to start something new and exciting, something you always wanted to do but never before had the courage to begin. Well, now you do – so get on and make it a triumph.|01-30-2014|aquarius
61|Put your own needs first over the coming year and don’t worry too much about what others are up to. Something (or someone) that has annoyed you for ages will fade from your life over the next few months and you’ll feel so much better for it.|01-31-2014|aquarius
62|Something that has been an obstacle to your growth for months, maybe even years, will be removed over the next 48 hours, allowing you to move swiftly toward your goal again. If you can, help remove an obstacle for a friend as well.|02-01-2014|aquarius
63|You need to be challenged, you need to be pushed, you need to be made aware that you are capable of doing so much more. And you will be. Your birthday chart indicates that the coming 12 months will stretch you – and reward you – like never before.|02-03-2014|aquarius
64|If you put your mind to it today you can change something about yourself that you have disliked for a very long time. How will you do that? By replacing a bad habit with a good habit. There’s no reason a good habit can’t be fun.|02-04-2014|aquarius
65|Take a good look at what is annoying or upsetting you and ask yourself how important it really is. Most likely, you will come to the conclusion that it’s not worth another minute of your time or emotional energy. So forget it. |02-05-2014|aquarius
66|So many things will change in your life over the next 12 months that you may begin to feel that upheaval is quite normal. In a way that’s good because the world is moving faster by the day and not everyone has what it takes to keep up. But you do.|02-06-2014|aquarius
67|Fortune will smile on you over the coming year, but its smile will be broader and brighter if you meet it halfway and do the kind of things that will get you noticed. You possess that indefinable something which is called “star quality”. Don’t waste it.|02-07-2014|aquarius
68|Wherever you go and whatever you do over the coming 12 months, your guardian angel will be watching over you, so by all means push the boundaries a little. You should not be reckless, of course, but taking calculated risks will be fun — and profitable.|02-08-2014|aquarius
69|You may be sociable by nature but you must make sure you get plenty of private time, especially if you are the sort of Aquarius who is constantly trying to make sense of the world you inhabit. The deeper your thoughts the wider your understanding will be.|02-10-2014|aquarius
70|Your head and your heart are working well together at the moment, but unfortunately some of the people you have to deal with are so mixed up their presence in your life is becoming a liability. So get rid of them. Be ruthless. |02-11-2014|aquarius
71|You will find your voice this year – and once you’ve found it you won’t stop talking! Get involved in the big issues of the day and make sure your point of view is out there in the marketplace of ideas. You will win a lot of arguments, and a lot of new friends.|02-12-2014|aquarius
72|The bigger the challenge the more you like it. Your sense of adventure is such that you don’t mind what life throws at you – as far as you are concerned each and every problem is an opportunity for fun. Hold on to that feeling right though the year.|02-13-2014|aquarius
73|Today’s full moon can either be a positive or a negative influence, depending on how you choose to react to people who annoy you. No matter what they do or say just smile and refuse to get angry. They’re really not worth the bother.|02-14-2014|aquarius
74|The Sun and Mars combine on your birthday to give you all the energy and all the ambition you will ever need. However, as retrograde Mercury is also strong you must be rational in your thinking. Deal with the world as it is, not as you wish it to be.|02-15-2014|aquarius
75|Be ready to change direction at a moment’s notice over the coming 12 months. Even if you are the sort who stubbornly refuses to move with the times it is in your interests to be more flexible – and more adventurous. Make the effort – you’ll enjoy it.|02-17-2014|aquarius
76|For some time you have been torn between two possible futures for yourself and it’s got to the stage where being unable to decide is driving you mad. So why not embrace them both? You don’t have to commit yourself to just one way of living. Give it a go.|02-18-2014|aquarius
77|What you are currently worrying about is not worth the time or the effort. A few days from now, you will look back and wonder how you could have gotten so worked up about something so trivial. Why not get wise to it now? |02-19-2014|aquarius
78|Limit your spending to essentials today. You know how easy it is to reach into your pocket and find cash for this or that trinket but if you do that now you may have nothing left for the weekend – and that’s when the fun begins!|02-20-2014|aquarius
79|Just because you see things in a clear and logical way does not mean other people see with the same kind of eyes or understanding. You will encounter someone today who is rather dull-witted. You have to accept that some people will never “get it”.|02-21-2014|aquarius
80|You seem to believe that there is some sort of conspiracy against you. Yes, of course, you are overreacting but even so you would be wise not to give away too much about yourself this weekend. The less others know about your activities the better.|02-22-2014|aquarius
81|You like to splash out occasionally and the current cosmic set-up makes it difficult to keep your money in your pocket. Promise yourself now, before the new week begins, that you will limit yourself to a fixed amount of spending money every day.|02-23-2014|aquarius
82|You need to protect what you have gained, which is considerable. Common sense tells you that your winning streak can’t last forever and that if you carry on taking risks you could lose it all. Maybe it’s time to cash in some of those chips.|02-24-2014|aquarius
83|If you want something enough you will find a way to get it, no matter how many obstacles are placed in your path. Whatever challenges you face you are big enough and tough enough to deal with them – in fact they bring out the best in you.|02-25-2014|aquarius
84|You want to do something for people who are in some way less well off than you. That’s very noble of you but don’t just throw your money at the first good cause that comes along. Get involved in a project that will make a lasting difference.|02-26-2014|aquarius
85|You don’t take risks often but when you do you go all the way. With that thought in mind you are advised to wait until the weekend to follow up on what you are planning. If you start too early you could lose it all.|02-27-2014|aquarius
