|horoscope|pub_date|zodiac
0|You’re not the sort to play safe and even if you have been a bit more cautious than usual in recent weeks you will more than make up for it over the next few days. Plan your new adventure today and start working on it tomorrow.|12-01-2013|pisces
1|There is no such thing as something for nothing and if you do not quite believe that now you will believe it by the end of the day. If you lose something valuable accept it as the price you must pay to learn this important lesson.|12-02-2013|pisces
2|As the new moon falls in one of the more adventurous areas of your chart you will take the kind of risk you might usually steer clear of. No doubt it will surprise a few people, including yourself, when it pays off handsomely.|12-03-2013|pisces
3|You will hear something amazing today but can you believe it? If it sounds too good to be true then it might be wise to check it out. Commit too soon and you could find you have signed up for something that does you no good.|12-04-2013|pisces
4|A friend or colleague you have not seen for a while will come back into your life today, tomorrow of over the weekend and you will be hugely pleased. This time, when you say farewell, promise to stay in touch – and mean it. |12-05-2013|pisces
5|You may be a nice guy by nature but most likely you will refuse to come to the rescue of someone who is in distress today. It may seem heartless but you know it’s for the best – it’s the only way they are going to learn.|12-06-2013|pisces
6|Someone will give you a tough time this weekend and although you know you don’t deserve it you also know there is no point complaining. Do what they expect of you and, if at all possible, do it with a smile on your face.|12-07-2013|pisces
7|You will be restless this coming week, without knowing why. Get out and about by all means but don’t wander too far from home or you may have trouble getting back again. Wherever you go, stay in touch with loved ones. |12-08-2013|pisces
8|You may be open and honest by nature but is letting any one and everyone know what you are thinking such a good idea? Some things are best kept to yourself, especially things that rivals and opponents may be able to make use of.|12-09-2013|pisces
9|You must avoid wishful thinking today. Cosmic activity in areas of your chart that deal with self-deception could lead you to make some silly mistakes. Reality is what it is – there is no need to embellish it or wish it were something different.|12-10-2013|pisces
10|If you have not made as much progress as you would have liked on a project of some kind don’t worry – and certainly don’t work even harder. Maybe in future you should set yourself targets you know you will be able to reach.|12-11-2013|pisces
11|You may think you have to tear everything down and start again from scratch but it’s really not necessary. There is precious little wrong with your life as it is and a few minor changes here and there is all that is required.|12-12-2013|pisces
12|A decision you made a long time ago now doesn’t seem like such a great idea but that’s too bad because you are stuck with it. Make the best of the situation and promise yourself that you won’t be so hasty in future.|12-13-2013|pisces
13|If someone you have to deal with on a day-to-day basis gets a bit bossy this weekend let them know you will not be pushed around. Others will only try to get away with what they think they can get away with. Make that nothing!|12-14-2013|pisces
14|If you are on the move over the next few days try to steer clear of people who upset you emotionally. Once you give in to negative emotions it will all start going wrong and you’ll end up miles from where you want to be.|12-15-2013|pisces
15|Family and financial problems can easily be resolved over the next seven days, but you must not keep putting them off. If you have to say something unpleasant the quicker you get it over with the less it will hurt – for both of you|12-16-2013|pisces
16|There are times when it is right to back down but this isn’t one of them. If you find yourself under attack today you must stand up and fight back. Don’t be intimidated by those who make lots of noise. It’s mainly for show.|12-17-2013|pisces
17|You will get exactly what you deserve today: no more and no less. If the rewards are good don’t doubt that you have earned them; and if the rewards are not so good then buck up your ideas and aim to do better next time.|12-18-2013|pisces
18|You may have lots of big ideas in your mind but are you ever going to get around to turning them into something useful, something that makes a difference both to yourself and to others? Talk is cheap – it’s actions that count.|12-19-2013|pisces
19|A clash of opposing viewpoints is likely on the work front today, and because you need to get along with both sides you must stay neutral. The best approach is to treat it all as a bit of a joke, because that’s exactly what it is.|12-20-2013|pisces
20|The Sun crosses the midheaven angle of your chart today, giving you the authority you have been lacking in recent weeks. Make the most of this change to win employers and other authority figures round to your way of thinking.|12-21-2013|pisces
21|Go out of your way to be pleasant to everyone you meet, even to those who are anything but pleasant to you. The more you smile and act as if the world is your friend the more the celestial powers that be will reward you.|12-22-2013|pisces
22|If you are happy with the way your career is going then don’t change a thing. If, however, you think you should be making more of your talents and moving up the ladder of success a good deal faster, do something about it – now!|12-23-2013|pisces
23|Something you have been working on for a long time will bear fruit today. Others may say you’ve been lucky but the fact is you have labored long and hard to get this far and deserve the good things now coming your way. |12-24-2013|pisces
24|Don’t bother trying to hide your feelings today because with your ruler Mars at odds with unpredictable Uranus they are sure to reveal themselves in some way, maybe explosively. Let others know what is annoying you – and why.|12-25-2013|pisces
25|You are on the threshold of a spectacular breakthrough. Which only goes to show that when you focus on a goal and follow up on it consistently you CAN be a success. But don’t get too full of yourself or fate may burst your bubble.|12-26-2013|pisces
26|Flattery will get you everywhere today, especially when dealing with people in authority. You can easily persuade them to give you what you want – but don’t forget it works both ways: they may want something from you in return.|12-27-2013|pisces
27|Patch up any partnership disputes you may be having because current aspects will not only make joint endeavors fun but will make them profitable too. Why argue when you could be laughing and making lots of money together?|12-28-2013|pisces
28|A new moon in the career area of your chart means it is time to make a decision about your future. Don’t forget though that the moon is an emotional influence. Make sure you know all the facts and are thinking straight before you move ahead.|12-29-2013|pisces
29|No matter how many times you may have fallen short in the past you will measure up now. Push yourself hard this week and don’t give up hope just because you experience one or two setbacks. That breakthrough you seek is very close.|12-30-2013|pisces
30|Authority figures may be difficult to get along with today, but you can make things easier for yourself by refusing to get involved in disputes that serve no purpose. If you can, steer clear of people who rub you up the wrong way. |12-31-2013|pisces
31|If you need to ask a favor of someone in a position of authority now is the time to speak up. Cosmic activity in the career area of your chart is so good at the moment they will grant you (almost) anything and everything you desire.|01-01-2014|pisces
32|No matter how outrageous your ideas may seem to some people, you must trust your instincts and follow up on them. Allow your inner voice to guide you, and don’t be in the least bit surprised when it all works out perfectly.|01-03-2014|pisces
33|If your reputation is important to you, then be careful what you say and do this weekend because with Jupiter, planet of excess, at odds with the Sun you could go too far and turn people against you. Make an effort to always be moderate.|01-04-2014|pisces
34|What you gain over the coming week will more than make up for what you have lost, so be of good cheer. Sometimes something has to go out of your life before something new can come in and that seems to be the case now.|01-06-2014|pisces
35|Try to avoid confrontation today because almost certainly you will come off second best. If possible, go off and be by yourself for a while: You will return to the fray refreshed physically and mentally and with lots of great new ideas. |01-07-2014|pisces
36|This is one of those days when you would rather be anywhere than where you are supposed to be. If you can find a legitimate way out of the situation then go for it, but if you just fail to turn up you could create a powerful enemy.|01-08-2014|pisces
37|You will gain more by doing less today. Either cut back on your workload or get friends and colleagues to help you out. Better still, do both and put your feet up. There’s no cosmic law that says you have to do anything at all.|01-09-2014|pisces
38|There are so many ambitions you want to pursue and so many goals you want to reach, but not even an Aries can do everything at once. Sit yourself down and decide what is the number one thing that needs to be done – then do it.|01-10-2014|pisces
39||01-11-2014|pisces
40|Tell people the truth as you see it, even if it means upsetting someone you respect or endangering your standing with friends and colleagues. Even the smallest of lies must be avoided over the next seven days – unless you enjoy trouble.|01-12-2014|pisces
41|No matter how many times you have fallen short in the past you will succeed this week. The Sun remains in the most ambitious area of your chart until the 20th, so make the most of it – show the world what a star you really are.|01-13-2014|pisces
42|Take time out of your busy schedule to sit down and think about what it is you are doing and where it is you are going. That applies to all areas of your life but especially to your career. Are you doing what you dreamed you’d be doing?|01-14-2014|pisces
43|The full moon’s influence will pull your emotions first one way then the other over the next 48 hours. Because of that the safest course of action by far is to ignore them completely and act only on what your head tells you.|01-15-2014|pisces
44|Be honest with friends and colleagues today, even if what you have to tell them is not what they want to hear. Having said which, maybe what you think is bad news is nothing of the kind – maybe from their point of view it’s good.|01-16-2014|pisces
45|Your mind will be moving fast today and over the weekend as you look for ways to make your ideas pay. But don’t make any major decisions until after the Sun changes signs on the 20th. Only then will the way forward be clear.|01-17-2014|pisces
46|A few days from now you could find yourself moving in a new direction, with new ambitions and maybe even a new set of friends. This weekend though you are advised to sit tight and spend some quality time with your loved ones.|01-18-2014|pisces
47|Don’t rush into anything over the next few days but be ready to act decisively when the opportunity you have been waiting for finally arrives. Also, make a point of working more closely with people who share your ideals.|01-19-2014|pisces
48|Whatever you happen to be working on now you will get it done quicker and better if you get other people involved. But they must be involved as equals. It may be your vision, your baby, but don’t let your ego get in the way of success.|01-20-2014|pisces
49|Even if you prefer to walk alone it will pay you to get more involved in group activities over the next few days. Friends and social contacts will bring you luck and make life more enjoyable, so get out there and have some fun.|01-21-2014|pisces
50|You may not agree with what you hear today but you must let others have their say. Free speech is worth fighting for, so if someone tries to shout down a dissenting opinion make it your business to defend their right to be different.|01-22-2014|pisces
51|Is what you are planning really such a good idea? Could it be that you have overestimated your abilities? Don’t worry. The planets indicate you have what it takes and once you get moving all your doubt will disappear. So get moving!|01-23-2014|pisces
52|There is no point being angry about what you have to leave behind. The planets are pointing you in a new direction and urging you to take that first brave step into the unknown. What are you waiting for? Aries is supposed to be adventurous!|01-24-2014|pisces
53|You will get a much needed rest this weekend from a problem that has been causing you sleepless nights but it won’t go away completely. A personality conflict is still a major issue and sooner or later will have to be dealt with.|01-25-2014|pisces
54|Get involved in something that is bigger than yourself, such as a social movement or charitable enterprise. No matter how dynamic an Aries you may be you cannot change the world alone, but you can make a difference working with others.|01-26-2014|pisces
55|You will find it easier to be assertive this week but that does not mean you can order people around for the fun of it. Try to work harmoniously with those who share your aims and ambitions – there are plenty of them out there in the world.|01-27-2014|pisces
56|Don’t get discouraged if something you attempt does not work out the way you expected it to – it is still good practice and may even take you in a profitable new direction, one you may not otherwise have thought of. You’re making progress.|01-28-2014|pisces
57|You may fantasize about running away and starting again from scratch some place new, but deep down you know it isn’t going to happen. Focus on making the best of where you are and what you have got — and that’s plenty.|01-29-2014|pisces
58|This will be a thoroughly enjoyable day and it will be more enjoyable still if you don’t waste time worrying what other people might think about what you are doing – or, more to the point, who you are doing it with!|01-30-2014|pisces
59|You may prefer to deal with facts and figures but there are times when you must take what you are told on trust, and this is one of them. Those you work alongside may be difficult at times but they are still very much on your side.|01-31-2014|pisces
60|Something you thought was going to be difficult will be easy, and something you thought was going to be easy will be difficult. Take it all in your stride. Life is not about events as such but about what you choose to make of them.|02-01-2014|pisces
61|The cosmos will give your confidence a boost this week and make all things seem possible. Don’t listen to those who say you should be patient and cautious. If you can think of something you should get on and do it. Make it happen.|02-03-2014|pisces
62|You are in a domineering mood at the moment and won’t hesitate to tell others how to do things. But anyone who tries to tell you will most likely wish they had kept quiet. They should do as you say, not as you do!|02-04-2014|pisces
63|You may find it hard to predict what others are going to do next, but there is no need to keep looking over your shoulder. Despite one or two minor setbacks today, the rest of the week will be much to your liking — so enjoy. |02-05-2014|pisces
64|Something will happen today that takes you by surprise but if you stand back from the situation and look at it in an objective light you will see it had to occur. Chances are that a few weeks from now you will be so glad it happened.|02-06-2014|pisces
65|If you could have three wishes what would they be? Focus on what you desire more than anything and there is a very good chance you will get it. Your mind is a powerful tool and if you use it to make a request the universe will respond.|02-07-2014|pisces
66|Looking back on the past seven days, you will be feeling quietly pleased with yourself, not least for having resisted the temptation to get uptight about issues that are of no real importance. Let others rant and rage. For you the weekend is about relaxing.|02-08-2014|pisces
67|Just because someone else is behaving badly or playing the fool does not mean you have to follow their example. This is going to be an important week, especially for relationships, so don’t go annoying people just for the fun of it.|02-10-2014|pisces
