|horoscope|pub_date|zodiac
0|However much you may wish to avoid any kind of unpleasantness you should not do so at the expense of your own self-esteem. If you show signs of weakness the only thing you can be sure of is that someone will take advantage.|12-01-2013|capricorn
1|Generally you take people as you find them and don’t care where they are coming from or where they are going to. Today though you should check all credentials before getting involved in anything of a financial nature.|12-02-2013|capricorn
2|There is no point trying to hide your feelings because others can see how you are hurting. What they don’t understand though is why you are hurting. If you need help – and you do – then you really must be honest with them. |12-03-2013|capricorn
3|Act rationally in everything you do today, even if it gets you a reputation as someone who is all head and no heart. Experience has taught you that people who follow only their emotions usually end up with nothing worth having.|12-04-2013|capricorn
4|It may seem as if you are being held back by circumstances beyond your control but is that true? According to the planets it’s just as likely you are putting mental obstacles in your path that have no reason being there. Sort your mind out. |12-05-2013|capricorn
5|Close your ears to criticism and don’t waste time trying to get even with those who have let you down or said hurtful things – they’re not worth the effort. Time is too precious to waste on petty people and personal vendettas.|12-06-2013|capricorn
6|Mars, planet of action and energy, crosses the career angle of your chart this weekend, so you will be even more go-getting than usual. Before beginning something new though try finishing a project that you only recently started.|12-07-2013|capricorn
7|You seem determined to see the worst in every situation – and you need to get over it quickly. Your happiness depends entirely on the way you choose to look at events – and the good news is that is wholly under your control. |12-08-2013|capricorn
8|Someone you work or do business with has been taking liberties of late and you are almost at the point where you have to say something rude. Think carefully before you open your mouth though. Do you really want to start a war?|12-09-2013|capricorn
9|Make sure you deal only with people who are exciting and original today. Some of their ideas may be a little way out for your more traditional tastes but no matter: they will spur you on to try a few creative tricks of your own.|12-10-2013|capricorn
10|You may not have made as much progress on the work front as your talents deserve but with Mars moving through the career area of your chart it won’t be long before the picture changes. You’ve got to be more assertive.|12-11-2013|capricorn
11|You would dearly like to help someone who is struggling but you know if you do they will struggle even more in the future. This is one of those situations where they need to learn from their own mistakes, painful though that may be for you both.|12-12-2013|capricorn
12|There is a danger that your frustration will get the better of you and you will say or do something that gets you noticed for the wrong sort of reason. But at least others will be aware that you’re not afraid to hit back at provocation.|12-13-2013|capricorn
13|You have always been ambitious but over the next two or three days you will amaze even yourself by your desire to move up in the world. Whatever restrictions you feel life has imposed on you just throw them off and be brilliant.|12-14-2013|capricorn
14|Stand back and let other people take center stage this weekend, especially on the work front where the further away you are from a project the less likely it is you will get part of the blame when, inevitably, it all goes wrong.|12-15-2013|capricorn
15|You don’t lack for ideas at the moment but you seem strangely reluctant to let the world know about them. Maybe that’s not such a bad thing. You don’t want rivals stealing your insights before you get the chance to exploit them yourself.|12-16-2013|capricorn
16|Don’t waste your time arguing about something that is trivial in the extreme. If you find yourself losing your temper with someone who refuses to see sense just turn your back and walk away. That will hurt them much more.|12-17-2013|capricorn
17||12-18-2013|capricorn
18|When the Sun moves into your sign this weekend a new solar year begins. Make it your objective, today and tomorrow, to look back over the past 12 months and learn what you can from your mistakes. After that it’s full speed ahead. |12-19-2013|capricorn
19|It would appear that in your haste to get ahead you have overlooked some small but important detail and if you don’t recognize that fact soon it will come back to slap you in the face. Identify your mistake, put it right and move on.|12-20-2013|capricorn
20|The Sun moves into your sign today, so put the past behind you and start with a clean slate. What’s done is done and cannot be undone, so be positive in word and deed and aim to be the very best you can be right here and now.|12-21-2013|capricorn
21|You must define your goals clearly. You must also keep them within realistic bounds. If you can do those two simple things then what you achieve over the next 12 months will overshadow what you achieved in the previous 12 years. It’s your time to shine.|12-22-2013|capricorn
22|No matter how many rivals oppose you and no matter how much they threaten to disrupt your plans you must hold your nerve. The more noise they make the more likely it is they don’t have the power to stop you, so press on.|12-23-2013|capricorn
23|Decide what is the most important thing you should be doing right now and do it to the exclusion of everything else. The Sun and Mercury in your sign makes it easy for you to focus on essentials. Your efforts will not be wasted.|12-24-2013|capricorn
24|Cosmic activity that cuts across the domestic and career angles of your chart urges you to get the family-work balance right. It also suggests you need to delegate more. You don’t have to do every last thing yourself you know.|12-25-2013|capricorn
25|As cosmic activity in your sign reaches a peak over the new year period you will have to deal with situations that in the past you have tried to avoid. The good news is solutions can easily be found, but you’ve got to act now.|12-26-2013|capricorn
26|This is a time to relax and have fun with family and friends. The planets suggest you can do as you please and get away with it today, so do nothing or do everything – the only cosmic demand is that you do it with a smile.|12-27-2013|capricorn
27|This is potentially a wonderful weekend for you, so make the most of it and make sure you get your way whatever it is you are planning to do. With so much great cosmic activity in and around your sign you really can’t lose.|12-28-2013|capricorn
28|You will have tons of ideas over the next 12 months and some of them will be touched by genius. However, your birthday chart warns that others are so far out in the universe they have no hope of coming true. Try to keep your imaginings within reasonable bounds|12-29-2013|capricorn
29|You don’t lack courage or confidence, so why are you not using them to the full? Maybe it’s because you can sense that Wednesday’s new moon will bring a brilliant new opportunity your way. Is that what you are saving yourself for?|12-30-2013|capricorn
30|You’ve been hugely ambitious of late and with mind planet Mercury joining forces with Pluto in your sign today you will be even more determined to make your mark. If you know what you want, no power on Earth can stop you from getting it. |12-31-2013|capricorn
31|Not only is there a new moon in your sign today but Pluto, planet of power, is on your side as well, so you won’t have any trouble getting your way. Both at home and at work people will go out of their way to do things for you.|01-01-2014|capricorn
32|You don’t need to make drastic changes over the coming 12 months but you do need to be sure in your own mind what it is you are hoping to accomplish. Write down in a notebook your top five aims for the year ahead and carry it with you every single day.|01-02-2014|capricorn
33|Try not to live in the past or lament your mistakes, because what happens next will more than make up for what you appear to have lost. Resolve to always look forward and never look back. It’s not nearly as hard as it sounds.|01-03-2014|capricorn
34|Don’t be surprised if you get a bit emotional over the next 48 hours. With the Sun in your sign opposing Jupiter in Cancer, you have bottled up your feelings for too long — and now they’re going to explode. These things happen.|01-04-2014|capricorn
35|Whatever it is that separates the winners from the losers you’ve got plenty, but are you using it to best effect? Your birthday chart urges you to get serious about changing your life for the better – and you might just change the world as well|01-05-2014|capricorn
36|It is important that you tell the truth today, even if by doing so you cause yourself, and maybe others, a certain amount of grief. With communications planet Mercury linked to your ruler Saturn this is clearly the time for straight talk.|01-06-2014|capricorn
37|Make the coming 12 months a time of consolidation. Make sure everything you have achieved over the past two years is safe and cannot be dismantled. Above all, enjoy all the good things that make life so special. No one deserves them more than you. |01-07-2014|capricorn
38|You must not allow anyone, not even your nearest and dearest, to hold you back from doing what you know is right for you personally. You have reached some kind of crossroads and now a decision has to be made. Inevitably, some people won’t like it.|01-08-2014|capricorn
39|If you have fallen out with someone lately now is the time to kiss and make up. That applies to all kinds of relationships but mainly to those of a personal nature. It might not be such a good idea kissing your boss, after all!|01-09-2014|capricorn
40|Start something new, something exciting, something adventurous, something that helps you make your mark on the world. Don’t worry that certain people might not approve – it’s a sure sign that you are doing something worthwhile.|01-10-2014|capricorn
41||01-11-2014|capricorn
42|You have a great many plans for the coming 12 months and it is important that you let friends and loved ones know what you will be up to. If you go off at a tangent without warning they may think they no longer have a special relationship with you. Reassure them.|01-12-2014|capricorn
