|horoscope|pub_date|zodiac
0|Because Tuesday’s new moon falls in the most creative and dynamic sector of your chart you will be full of yourself over the next few days. You will also attract the kind of people who make fun things happen. Together you’ll have a blast!|12-01-2013|leo
1|What others expect of you is not important – what matters is what you expect of yourself. Others may say you should be doing this or doing that today but you must reject it all and do only what makes you happy.|12-02-2013|leo
2|Yours is one of the most favored signs at the moment and today’s new moon in your fellow Fire sign of Sagittarius urges you to cash in on your creative ideas. Do what feels right to you, not what others say can or should be done.|12-03-2013|leo
3|You may have no particular interest in the chores you are expected to do today, but do them anyway and make sure you do a good job. Come the weekend you will be free again to pursue your own interests with a clear conscience.|12-04-2013|leo
4|Mercury, planet of communication and the mind, joins the Sun in the most creative area of your chart today. What does that mean in plain English? It means you must let the world know of your achievements – of which there are plenty. |12-05-2013|leo
5|There are only so many hours in a day, even for a Leo, so identify your priorities and don’t try to do everything at once. Aim for quality rather than quantity in all things at all times – one way or another it will be enough.|12-06-2013|leo
6|You need to have a definite objective in mind and a clear-cut plan to help you to reach it. If so, there is nothing you cannot do over the next few days. A little bit of forethought will bring rewards beyond your wildest dreams.|12-07-2013|leo
7|Others may try to disrupt your plans over the next few days but they will only succeed if they are so inflexible that minor setbacks cause major problems. Be ready and willing to adapt – it’s what separates the winners from the losers. |12-08-2013|leo
8|Make sure you focus on positive things as the new week begins because if you allow negative thoughts to get a hold you will find it hard to shake them off again. Whatever your current problems may be they’re not as bad as they seem.|12-09-2013|leo
9|You need to sit down and have a heart-to-heart talk with someone you care for. A lot of things have been said and done in recent days and the time has come to clear the air. Be honest about your feelings and let them be honest too.|12-10-2013|leo
10|You need to get your financial house in order and you need to do so quickly. Be ruthless with yourself and make sure you know the difference between your needs and your desires. If something is not an absolute necessity then live without it.|12-11-2013|leo
11|It may be hard for you to understand why certain people act in certain ways but there is no point getting worked up about it because you won’t change the way they are. Try acting as if you don’t care in the slightest what they do.|12-12-2013|leo
12|You may have to do something that makes you unpopular today but that won’t worry you one bit. You know there are times when you have to put duty before pleasure and this is clearly one of them. Do it and do it well.|12-13-2013|leo
13|You don’t seem quite so concerned now about what you earn and how much you spend and that’s good. Leos do best when they focus on the bigger picture and money is such a little thing. Make having fun your priority this weekend.|12-14-2013|leo
14|You tend to stick with what you know and trust and most of the time it works but over the next few days you may have to update your ideas a bit. Ultimately, everyone has to move with the times – yes, even a Leo!|12-15-2013|leo
15|Others may be having second thoughts about what you are doing but you have no such doubts. Even if you do make a mistake or two along the way your momentum and sense of purpose will keep you moving towards your goal.|12-16-2013|leo
16|You may be brave by nature but taking risks is best avoided today, especially on the home front where loved ones are unlikely to see the funny side of your pranks – and even less if they have to come and rescue you.|12-17-2013|leo
17||12-18-2013|leo
18|You have been in impressive form of late but all good things must come to an end and life may not be quite so easy when the Sun changes signs on the 21st. If there is anything of a creative nature that needs doing then do it now. |12-19-2013|leo
19|A moment’s hesitation could cause you grief – at the very least you will kick yourself for not trusting your instincts. Don’t listen to those who say you should be cautious. It may be good advice for them but it’s not right for you.|12-20-2013|leo
20|The past few weeks have seen you at your most confident and dynamic but now you need to pay a bit more attention to the little things – but only a bit. Don’t lose sight of the big picture but find ways to paint it on an everyday canvas.|12-21-2013|leo
21|Life is supposed to be fun and will continue to be fun if you don’t let minor issues get to you. Also, don’t waste time worrying that others are not so fortunate. Be happy and successful yourself and be the example they want to follow.|12-22-2013|leo
22|Sit down, put your feet up and let others do all the running around. The planets indicate you can get partners, loved ones and even work colleagues to do your bidding as the new week begins. It is, after all, the natural order of things.|12-23-2013|leo
23|Matters of a routine nature will take up a lot of time but once you have completed your tasks you can move on to something more interesting. Whatever else you do today, don’t cut corners as it could cost you a lot more than you can afford.|12-24-2013|leo
24|The more you try to focus on a particular task the more your mind seems to wander and the more frustrated you get. Take the hint and stop trying so hard. Go easy on yourself today and let life come to you for a change.|12-25-2013|leo
25|You may be tempted to change something that has worked for years, but is that such a good idea? In your present mood there is every possibility that you will go too far and change things in a revolutionary rather than an evolutionary way.|12-26-2013|leo
26|Take nothing for granted over the next 24 hours, not even things you have done a thousand times before. That applies to all areas of your life but especially to your work and your daily routine. Make sure what you are doing is done right.|12-27-2013|leo
27|Stop wasting time and energy trying to make sense of things that to your way of thinking make no sense at all. You don’t have to fit everything in your life into a neat and tidy box. Some things are destined to remain a mystery.|12-28-2013|leo
28|It may be the party season but you still have work to do and because of that you may have to cut back a bit on the fun and games this week. Of course, you’ll have more time for work and play if you organize your time more efficiently.|12-29-2013|leo
