|horoscope|pub_date|zodiac
0|There may be a number of minor setbacks over the next few days but you will handle them with ease and still find time to have fun. The most important thing is that you are on the move – you’ll miss out if you sit still.|12-01-2013|libra
1|The more you search for a solution to a problem of some kind the more it seems to elude you. Maybe you are trying too hard. Maybe you should focus on something else for a while. The answer will come when it’s ready. |12-02-2013|libra
2|Your energy may be high at the moment but don’t burn yourself out. Social invitations will come thick and fast over the next few days but you are under no obligation to go along to them all, or even any of them.|12-03-2013|libra
3|Use your head today, especially when dealing with people who tend to get emotional over what are really quite trivial matters. No matter how agitated they may get you should remain calm and stay focused on the facts.|12-04-2013|libra
4|Get a change of scene today. The more you are on the move the more likely it is you will meet people who bring a smile to your face – and what could be more important than that? Look for similarities with others, not differences.|12-05-2013|libra
5|It’s not like you to look back and wish things had been different but that may be your attitude today. Okay, so you could have done a lot of things differently and some things better but that’s life. Only ever look forwards.|12-06-2013|libra
6|As Mars moves into your birth sign today you will find it so much easier to be assertive. Not everyone will agree with your aims but, to be blunt, you couldn’t care less. Only one person’s views count with you – your own!|12-07-2013|libra
7|What others say and do may influence your thinking but it is still your responsibility to make sure things work out the right way. Above all this week you must not allow rivals to blame you for their own feeble failings. |12-08-2013|libra
8|Make a point of respecting other people’s right to have opinions you don’t agree with. If you must criticize what they say at least do so in a civilized fashion. Resist the urge to be sarcastic because that will make the situation ten times worse.|12-09-2013|libra
9|Can you trust your senses? Most of the time maybe but today you would be wise to question what your eyes and ears tell you. Are you seeing and hearing what’s really there or what certain people want you to believe is there?|12-10-2013|libra
10|According to the planets this is a good day for personal issues, especially partnerships. Where affairs of the heart are concerned you can hardly put a foot wrong at the moment – and a little of what you fancy will do you good.|12-11-2013|libra
11|At some stage today you will realize that you are not going to get far with a joint project of some kind, thanks mainly to people dragging their feet. You will though make progress in areas where you can work on your own.|12-12-2013|libra
12|Don’t over-extend yourself on the work front or you may find that your energy takes a nose-dive early next week. Today’s Jupiter-Saturn link will help you persuade others to do things for you. You don’t have to do it all on your own|12-13-2013|libra
13|You may think you are determined and driven to succeed but with Mars in your sign you can and you must push yourself twice as hard as you usually do. Personally and professionally all things are possible, starting this very weekend.|12-14-2013|libra
14|If you cut corners or disobey rules this week you are sure to regret it. Even if you are the sort of Libra who enjoys taking risks you are strongly advised to play it safe. Don’t give your enemies an opening to make you look bad.|12-15-2013|libra
15|You will get your way on the work front easily enough today but you may upset a few people along the way. That won’t worry you in the slightest. You are determined to make your mark and make some serious money too.|12-16-2013|libra
16|You can be extremely persuasive at times but don’t go too far and demand that people change their views and opinions. Communication is about the exchange of ideas, not forcing your ideas on those who clearly don’t want them.|12-17-2013|libra
