|horoscope|pub_date|zodiac
0|Now is the time to start thinking seriously about moving in a new career direction. Don’t let fear, be it of the unknown or of failure, hold you back because the planets suggest you will love every moment of it. Dare to be different.|12-01-2013|pisces
1|You may have strong opinions about something and you have every right to express them but you need to accept that not everyone agrees with you. Try not to get angry if others refuse to see things your way. It’s no big deal.|12-02-2013|pisces
2|You may be dreading upheavals on the work front but the planets suggest you have little to worry about. Yes, in the short-term there will be some adjustments to make, but over time you will benefit from a change or regime.|12-03-2013|pisces
3|Someone who has a lot more experience than you could be of enormous help    today, but you need to remember that they can’t ready your mind. Whatever it is you desire you must spell it out for them in plain and simple language.|12-04-2013|pisces
4|Someone in a position of authority will praise you for a job well done and your confidence will go through the roof. But don’t get sloppy. The reason you did such a good job was because you planned carefully and worked hard. Keep at it. |12-05-2013|pisces
5|You need more fun in your life but you won’t get it hanging around the same old places doing the same old things with the same old people. The planets are urging you to be more adventurous. Life is a gamble or it is nothing.|12-06-2013|pisces
6|Seek out people who share your values and beliefs. Not only can you change the world if you work intelligently together but you can also benefit in material ways. It’s okay to be a Good Samaritan and make a profit too.|12-07-2013|pisces
7|If your reputation means anything to you then you must be careful what you say over the next few days. If you blurt out an opinion that does not sit well with the powers that be you could do your career prospects considerable harm.|12-08-2013|pisces
8|You are entitled to your opinions but if you are smart you will tone down some of your more outrageous ideas today, at least while in the presence of people you need to stay on good terms with. Certain things don’t have to be said.|12-09-2013|pisces
9|If you are thinking of making a trip of some kind, that’s good, but keep your plans flexible. Last minute changes are more likely than not over the next 24 hours, so be prepared and, more importantly, be open to new possibilities.|12-10-2013|pisces
10|Be decisive today: think and act fast and don’t worry too much about what the consequences might be. Your forthright manner may annoy a few people but that’s okay. They need to know you’re not the sort to be messed around.|12-11-2013|pisces
11|Are you making the most of your time? Chances are you have allowed hours, days, even weeks to slip by without doing anything special. That must now change. Get serious about your ambitions and do something out of the ordinary today.|12-12-2013|pisces
12|Jupiter and Saturn link across the most favorable angles of your chart today and the most likely outcome is that you will be rewarded for services you have done for others in the past. Enjoy your good fortune – no one deserves it more.|12-13-2013|pisces
13|You will need to read between the lines this weekend because almost certainly the real story will be nothing like the one other people are trying to sell you. Facts are important but don’t forget they can conceal as well as enlighten.|12-14-2013|pisces
14|There may be a certain amount of strife over the next few days as partners and loved ones get emotional about things that don’t worry you in the slightest. Do what you can to soothe them but don’t let their negativity spoil your plans.|12-15-2013|pisces
15|You must check facts and figures carefully today as Mercury linked to retrograde Jupiter warns that either someone is trying to deceive you or you will in some way deceive yourself. See what is there, not what you hope is there.|12-16-2013|pisces
16|Accidents will happen but that does not mean they have to happen to you. The planets warn that if you go looking for adventure you will find it okay- which may be fun to begin with but later on it will be you who slips and falls.|12-17-2013|pisces
17|You seem to have lost your way a little and the planets suggest you swallow your pride and ask someone who knows what they are doing to help you. Don’t think of it as a sign of failure if anything it’s a sign of maturity.|12-18-2013|pisces
18|You need to convince those in positions of power that you deserve to be given more responsibility and the rewards that go with it. Timing is everything and the right time is now – so get a move on and move up in the world.|12-19-2013|pisces
19|By all means state your case today but don’t get upset if others disagree with you and try to pick holes in your arguments. The world is a big enough place for all shades of opinion, so agree to disagree and leave it at that.|12-20-2013|pisces
20|You need to take a more relaxed view of partnerships and friendships, both in your personal life and at work. Treat others as if they are allies and equals rather than rivals and enemies and life will be fun and profitable in equal measure.|12-21-2013|pisces
21|Your willingness to work as part of a team will bring many benefits over the next few weeks, not least the boost it gives to your reputation. Friends will be lucky for you but employers and other authority figures will be luckier still.|12-22-2013|pisces
22|What appears to be a disappointment today will have you jumping for joy later in the week, so don’t let your emotions swing too wildly one way or the other. Overall your outlook is extremely good, so don’t waste time worrying.|12-23-2013|pisces
23|Try not to get too emotionally involved in other people’s problems. Life is full of ups and downs and you, and they, would be wise to accept that fact. A more light-hearted approach from you today will be an example for them to follow.|12-24-2013|pisces
24|This should be a fun time for you but there is one unpleasant fact that has to be faced. The good news is that once you resolve to deal with the issue it won’t be anywhere near as bad as you fear, so be bold and take action now.|12-25-2013|pisces
25|Pay attention to what friends and family members tell you over the next 24 hours because they can see something that you have missed. If you listen to what they say and act on their advice it could save you a lot of trouble.|12-26-2013|pisces
26|Steer clear of subjects and situations which lead to disagreements over the next 24 hours. If you think that your opinions might be too controversial and that some individuals or groups might be offended, keep them to yourself – for now.|12-27-2013|pisces
27|Sit back and take what comes your way this weekend. Almost certainly it will be pleasant and almost certainly it will be profitable. You don’t have to do anything special – just be yourself and the let the universe reward you for it.|12-28-2013|pisces
28|Everyone is entitled to their opinions but that does not mean all opinions are equal. If a point of view you have held for years is shown to be lacking in some way then don’t be afraid to give up on it. Opinions evolve like everything else.|12-29-2013|pisces
29|Your dreams can and will come true – if you believe in them. Make sure you share them with friends and loved ones too because your dreams and their dreams overlap in so many ways. Work together toward a long-term goal.|12-30-2013|pisces
