|horoscope|pub_date|zodiac
0|Think seriously about starting something new this week, something different to what you are used to. Tuesday’s new moon will inspire you to make the kind of courageous choices most people prefer to avoid. But you’re not most people!|12-01-2013|sagittarius
1|If you ask for something today you will most likely get it. But will it be good for you? The planets warn it might be smart to stick with what you already have and try to make the best of it. More is not necessarily better.|12-02-2013|sagittarius
2|As the new moon takes place in your birth sign it is essential that you choose one aim and stick with it. This can be and should be one of the most successful times of the year but don’t scatter your energies in a dozen directions.|12-03-2013|sagittarius
3|If a tough decision is called for then you must make it and live with the consequences. The planets warn that the worst possible thing you can do right now is to hedge your bets – come down on one side of the fence or the other.|12-04-2013|sagittarius
4|If you are not doing so already you should be making big plans – no, make that huge plans. Cosmic activity in your birth sign indicates that the more things you start the more you will accomplish and the more fun you will have. |12-05-2013|sagittarius
5|You may not be the best in certain areas but in one particular field of endeavor you have no equals and that is what you should be focusing on now. Don’t try to be all things to all men, just be yourself – it’s more than enough.|12-06-2013|sagittarius
6|There is no point worrying about things over which you have no control. That applies to all areas of your life but particularly to friendships and social activities. What will be will be, so buy your ticket and enjoy the ride.|12-07-2013|sagittarius
7|Make an effort to avoid all thoughts and feelings of doom and gloom. The Sun in your sign links with your ruler Jupiter this week but the effect could be to exaggerate what’s wrong with the world. It’s still a wonderful place. |12-08-2013|sagittarius
8|Some of the people you have to deal with today will drag their feet and find excuses why they cannot deliver what you require. You can lose your temper if you want but why raise your blood pressure? It will all come right with time.|12-09-2013|sagittarius
9|Your mind may be bubbling with a dozen great ideas but if you try to follow them all you will get nowhere fast. Decide what is the one aim that means the most to you then put your heart and soul into it. One masterpiece at a time!|12-10-2013|sagittarius
10|Make the most of the Sun in your sign to show the world what you are capable of. It’s never too late to make an impression or to move up in the world but there are times when it is easier than others and this is one of them.|12-11-2013|sagittarius
11|Don’t take anything too seriously today because if you do you may get depressed and start wondering why you bother to make an effort. Everyone gets moods like this occasionally. Snap out of it by focusing on things that make you smile.|12-12-2013|sagittarius
12|Why is it that people are so demanding of you? Most likely it’s because they know you are too nice to say “no”. At some stage today you need to get tough and let certain people know they have to do more for themselves from now on.|12-13-2013|sagittarius
13|If you can meet others halfway and work together on things that are of mutual importance there is no limit to what you can achieve over the next few days. Remember: what you do for others you also do for yourself.|12-14-2013|sagittarius
14|It’s time to take stock of what certain partnerships and relationships mean to you – and if you realize they don’t mean that much then maybe it’s time to bring them to an end. You cannot allow anyone to hold you back.|12-15-2013|sagittarius
15|Teamwork is essential over the coming 12 months, even if – especially if – you are the sort of Sag who likes to go it alone. Co-operation was, is and always will be the key to success and that applies as much to personal affairs as it does to your career.|12-16-2013|sagittarius
16|A full moon on your birthday means you need to pay more attention to partnerships over the next 12 months. That does not mean you have to give in every time there is a dispute of some kind but life will be easier if you let the other person win occasionally.|12-17-2013|sagittarius
17|There will be a setback concerning a money matter or business deal and you won’t be happy about it. But is it worth getting worked up about? Life is full of uncertainties but very few mean much in the greater scheme of things.|12-18-2013|sagittarius
18|The Sun remains in your sign only until Saturday, so get busy and get as much done as you can between now and then. That does not mean you won’t be able to get things done after that but it may not be so easy as it is now.|12-19-2013|sagittarius
19|You appear to be having second thoughts about a plan that previously you thought was the key to success. Maybe you are right to hesitate but at some stage you are going to have to make a choice and stick with it. Stop dithering!|12-20-2013|sagittarius
20|As the Sun leaves your sign today the emphasis of your affairs will start changing too, most noticeably in the way you deal with money. You may not have worried too much about cash flow before but you certainly need to now.|12-21-2013|sagittarius
21|Looking back on the past few weeks you will be amazed how much time you wasted on things that don’t really matter. On the other hand you did have a great deal of fun, so there is no need to feel guilty. Fun is an essential part of life.|12-22-2013|sagittarius
22|You know what needs to be done and you know that you must do it now, before anything else, so why are you hesitating? Push any doubts you may have to the back of your mind. As always, there is nothing to fear but fear itself.|12-23-2013|sagittarius
23|Money matters must come first today and with Mercury joining the Sun in the main financial area of your chart you will get the chance to balance the books. Over the longer term, try not to waste your cash on things you don’t really need.|12-24-2013|sagittarius
24|Plenty of people seem to be giving you advice at the moment but if you are wise you will disregard every last word of it. Only you know what you need, so only you are qualified to give guidance. Do what your inner voice tells you.|12-25-2013|sagittarius
25|You may come into money over the next few days but it would be wrong to count on it to get you out of trouble. The only way you are going to improve your financial situation is to cut back on your commitments – starting today.|12-26-2013|sagittarius
26|Your ability to resist temptation will be limited today, if it exists at all. But that’s okay because you need to let yourself go and have fun in that all-or-nothing Sagittarius way of yours. If it bucks up your spirits then it has to be good.|12-27-2013|sagittarius
27|The cosmic picture is slowly but surely moving in your favor and what happens this weekend will convince you that your luck is on the turn. It could have turned earlier but your negative attitude held you back. Don’t let that happen again.|12-28-2013|sagittarius
28|Anything of a financial or business nature will go well for you over the next few days – which makes a change. On the other hand, don’t start counting your profits or winnings before you actually have them in hand. That’s asking for trouble.|12-29-2013|sagittarius
29|Money matters may be causing you sleepless nights but there is really little to worry about. The approaching new moon will show you a simple way out of your predicament but you may not see it if your mind is clouded with fear.|12-30-2013|sagittarius
30|You may be on a roll and you may think you can do no wrong, but do you really want to risk it? According to the planets, if you bet big today you could win big; but you could lose big, too, so think carefully before making your choice. |12-31-2013|sagittarius
31|Go with the flow and let events work themselves out as they will. That applies to all areas of your life but especially to family and financial issues where, if you worry, you will only make matters worse. Tomorrow will take care of itself.|01-01-2014|sagittarius
32|Others may say you are aiming too high but you know that you have to aim high to increase your chances of hitting a worthwhile target. Sagittarius is known as the sign of the Archer, so grab your bow and do some hunting today.|01-02-2014|sagittarius
33|Whatever you decide over the next two or three days will — in some way or other — have a major effect on your future, so think ahead and make sure you are embarking on a course that is right for you. Don’t listen to others, listen to yourself.|01-03-2014|sagittarius
34|It may appear as if you are losing something of value, but in fact you are making room for something that is worth even more. The planets urge you to think ahead and focus on where you will be both a year and five years from now.|01-04-2014|sagittarius
35|If you need to approach someone for help with a business matter do so immediately. The planets indicate that if you make your pitch this week you stand a very good chance of getting what you ask for, so long as it isn’t too outrageous.|01-05-2014|sagittarius
36|There may have been some confusion of late but you should find it easy to set the record straight today. If your remarks have been misquoted or taken out of context make sure everyone knows it. Shout about it if you have to.|01-06-2014|sagittarius
37|You can make a little go a long way today, emotionally as well as financially. The trick is to not give too much away, to keep a little something in reserve and keep others guessing as to what you intend to do with it. |01-07-2014|sagittarius
38|Most times your hunches are spot on but the planets warn your instincts are not to be trusted today, so take care. This is one of those occasions when you must stick rigidly to the facts – and even they should be double checked.|01-08-2014|sagittarius
39|Don’t stay indoors and hide yourself away – get out into the world and show everyone what star quality looks like. You were born to put on a show, to be larger than life, so why are you peeking out from behind the curtains?|01-09-2014|sagittarius
40|Be positive about what happens today. Look on the bright side and realize that negativity of any kind will only add to your problems. Most of the world’s population would give their right arm to be you, so life can’t be that bad.|01-10-2014|sagittarius
41||01-11-2014|sagittarius
42|Be careful who you criticize this week because the full moon warns you could offend someone who has the power to make things difficult for you. You may be right in what you say but they won’t care in the slightest about that.|01-12-2014|sagittarius
43|Something will happen over the next 24 hours that makes you feel a lot better about your long-term prospects. It will also make you realize that wealth, like so many other things in life, is as much a state of mind as anything else.|01-13-2014|sagittarius
44|You may spend too much over the next few days but if you spend it mainly on other people it won’t be so bad. You are a generous soul at heart and like to see friends and family enjoy themselves. Don’t bankrupt yourself though.|01-14-2014|sagittarius
45|Tomorrow’s full moon makes it likely that you will clash with someone over money and possessions. But don’t take the situation too seriously because in a matter of days neither of you will be able to remember what it was all about.|01-15-2014|sagittarius
46|Your words will carry more weight if you keep what you have to say short and to the point. Don’t bother with explanations or clarifications, just say what you mean and leave no one in any doubt that you mean what you say. Less means more.|01-16-2014|sagittarius
47|Someone you meet today will open your eyes to new possibilities. But that does not mean you should drop what you are doing and head off in a new direction. Wait for the Sun to change signs on Monday before making decisions.|01-17-2014|sagittarius
48|Try not to attach so much importance to material things. Try not to get hung up on the fact that more cash seems to be going out than is coming in. This is only a temporary phase and is already coming to an end, so cheer up.|01-18-2014|sagittarius
49|As from Monday, when the Sun changes signs, you will find it so much easier to let partners and loved ones know how you feel. In fact all you ever have to do is be open and honest about who you are and what it is you desire.|01-19-2014|sagittarius
50|The pace of life is going to hot up over the next few days and you will have a lot of fun seeing how fast and how far you can go. But don’t go so fast and so far that you risk having an accident. Pace yourself sensibly.|01-20-2014|sagittarius
51|Get out and about. Be sociable. Wherever you go and whatever you do you will have a lot of fun and even the most ordinary of encounters will be hugely enjoyable. Make the effort to talk to people – you may learn something worth knowing.|01-21-2014|sagittarius
52|Be honest. Let others know what they are doing is wrong and what they must do to put it right. Most importantly, don’t allow yourself to worry that you might bruise their sensitive egos. Honesty is the best policy even if it hurts.|01-22-2014|sagittarius
53|The only reason someone is being so critical is because they resent your success. Perhaps you should point out to them that if they worked as hard as you they might be successful too. On the other hand, why waste your breath?|01-23-2014|sagittarius
