|horoscope|pub_date|zodiac
0|The upcoming new moon in the money area of your chart will bring out your extravagant side (yes, you do have one) and if you are not careful your taste for the high life could leave you broke. Make sure others pay their share.|12-01-2013|scorpio
1|You may have to hurt someone’s feelings today by saying something you know they don’t want to hear but if you don’t they will keep making the same mistake over and over again. As a friend, you have a duty to speak up.|12-02-2013|scorpio
2|The more you are told you can’t have something the more you will make a point of getting it – which could be fun but could also lead to situations that do you no favors. Don’t let your desires get out of hand and become obsessions.|12-03-2013|scorpio
3|You may have deep personal feelings about a certain situation but you must not let emotions get in the way of what needs to be done. Yes, of course, love makes the world go around but it needs a large dash of common sense too.|12-04-2013|scorpio
4|You will, as usual, get your way today and you will, as usual, win whatever battle of words and wits you are involved in. Bear this thought in mind though: just because you win does not mean you are right. Which is more important? |12-05-2013|scorpio
5|Everything is going according to plan and even though you may not get all the things you desire today you will certainly get all the things you need. The cosmos, as always, is looking over and looking after you, so why worry?|12-06-2013|scorpio
6|Lack of confidence is rarely your problem but this could be one of those days when you are reluctant to take a risk or get involved in issues that could be divisive. Maybe that’s good. Maybe you should be acting less and thinking more.|12-07-2013|scorpio
7|Fate may at times seem to be having fun at your expense but that is just the way it looks in the short-term. Try not to think of what happens in terms of days and weeks but in months and years. Your future looks exceedingly bright. |12-08-2013|scorpio
8|No matter how honest you think someone may be you would be wise not to let them make decisions for you today, especially if those decisions involve your hard-earned cash. If there are any risks to be taken you must take them yourself.|12-09-2013|scorpio
9|Seize the initiative. Start something new. Yes, of course, you have failed to follow through so many times in the past but this time can and will be different. What happened to all those big ideas you had? They’re still there for you to use.|12-10-2013|scorpio
10|You may not be able to rely on certain people as much as you have done in recent weeks but the truth is you no longer need them. There is a major luck factor working in your life at the moment. Take full advantage of it.|12-11-2013|scorpio
11|When you get annoyed you tend to go to extremes and some unfortunate person is going to be in your bad books today. Yes, maybe you will be too hard on them, but it will be a long time before they dare to upset you again.|12-12-2013|scorpio
12|You could be a bit too secretive for your own good today. According to the planets you will do better, both financially and emotionally, if you open up and let friends and family members know how you feel and what it is you need.|12-13-2013|scorpio
13|You seem to be going through one of those phases when you turn your attention in on yourself. There’s nothing wrong with that but don’t forget you have duties in the wider world too. Too much inner analysis could be costly (and boring).|12-14-2013|scorpio
14|Try not to rely so much on your hunches over the next seven days. Yes, of course, your inner voice can usually be trusted but it would still be wise to check facts and figures for yourself before laying your money on the table.|12-15-2013|scorpio
15|You will be rather outspoken today, which is not that unusual, but make sure your criticisms are justified or you could make enemies of people who should be your friends. If you damage someone’s reputation they’ll want to damage you.|12-16-2013|scorpio
16|Someone will give you a hard time today and as you are not the sort to back down it could lead to a bad situation. However, if you find yourself battling someone in a position of power don’t take it too far. You’ll lose in the long-term.|12-17-2013|scorpio
17|You won’t get things all your own way today, especially on the home front where partners and loved ones are anything but reasonable. The good news is this is only a passing phase, so let it pass and don’t be tempted to blow your top.|12-18-2013|scorpio
18|Slow things right down and take stock of how far you have come, because only then will you be in a position to decide how far you still have to go. Despite what some might say you’ve done well and deserve a pat on the back. |12-19-2013|scorpio
19|Be careful what you say because you could easily go over the top and let slip something that causes trouble. It might also cost you financially if others get the impression that you can’t hold your tongue in sensitive situations.|12-20-2013|scorpio
20|You are dwelling too much on the past when you should be thinking ahead. The good news is your attitude will take a turn for the better today. The even better news is the attitude of others towards you will be positive in every way.|12-21-2013|scorpio
21|You won’t worry much about money over the next few days, mainly because there are so many things going on in your life that you don’t have time to stop and count your cash. Good. The less you think about it the happier you will be.|12-22-2013|scorpio
22|There is a danger that you could let your emotions get the better of you, just when you need to think with your head rather than feel with your heart. Personal factors must be kept out of things today. It’s all about common sense.|12-23-2013|scorpio
23|You will get the chance to move up in the world in some way over the next few days and even though your mind may be on other things you must grab the opportunity. Don’t worry about taking on more responsibility – you’ll handle it.|12-24-2013|scorpio
24|You may find it hard to express yourself in the way you want to today but it’s no big deal. Those who know you well also know how you feel about them, so there’s no need to worry. Besides, actions always speak louder than words.|12-25-2013|scorpio
25|Something important is about to happen in your life and chances are it is something you will enjoy very much. Most likely it will have something to do with your social life, so don’t sit at home brooding – get out into the world.|12-26-2013|scorpio
26|Some people can be amazingly stupid but you won’t make them any smarter by making a big deal out of their mistakes. They are who they are and that isn’t going to change, so as far as possible just keep out of their way.|12-27-2013|scorpio
27|In the greater scheme of things there is no such thing as luck: ultimately we all get what we deserve. Bear that thought in mind if someone tells you that your good fortune has not been earned. On the contrary, no one deserves it more.|12-28-2013|scorpio
28|Do what comes naturally and don’t worry in the slightest what other people might think about it. The more open you are about your needs and desires and the more confident you look, speak and act the more respect you will get from the world.|12-29-2013|scorpio
29|You may experience a loss of confidence today but there is nothing to fear or get worked up about. On the contrary, with so many positive influences working for you now even your “down” times will look “up” to most other people.|12-30-2013|scorpio
30|A little cooperation will go a long way over the next 24 hours, so be ready to put your differences with certain people behind you and look for ways you can work together for your mutual benefit. You don’t have to be at odds all the time. |12-31-2013|scorpio
31|This should be a thoroughly enjoyable day and even if you have serious things to do you will still have a great deal of fun. Someone you meet while socializing or traveling will become more than just a friend, and that’s a nice thought.|01-01-2014|scorpio
32|There is no point feeling sorry for yourself, not even if your number one plan seems to have hit a brick wall. If fate in its wisdom wants you to stop for a while or maybe even try a different course just take it in your stride.|01-02-2014|scorpio
33|News you have been waiting for will arrive today and put an end to a worrying phase. Whether the news is “good” or “bad” is unimportant — what matters is that at last you know where you stand. Now you can start moving forward again.|01-03-2014|scorpio
34|Try not to let others know what you are thinking today, because most likely you are not thinking straight and what you say will cause misunderstandings. Keep your lips sealed. For a secretive Scorpio that should not be too difficult.|01-04-2014|scorpio
35|You still seem to be brooding on things that are over and done with. You may have good reason to feel hard done by but you cannot go back and change the past – you can only go forward and make sure the future is different.|01-05-2014|scorpio
36|The choices you make over the next few days will have a major impact on the direction your life takes over the next few months, so make them wisely. You don’t have to be cautious but you do have to be aware of all the options.|01-06-2014|scorpio
37|Stop worrying that you are not doing enough or that your rivals are winning. The planets indicate that success will be yours once you learn to relax and not take life so seriously. Strangely, that’s when the serious rewards start to arrive. |01-07-2014|scorpio
38|It seems you have made an error of judgment and all you can do is say sorry. If you sound sincere about it others will forgive you and you can move on together. If, however, your apology is grudging bad feelings are likely to linger.|01-08-2014|scorpio
39|Let others know what you are willing to put up with and what will happen if they push their luck too far. There is a time to be tactful but this isn’t one of them – be bold and, if you think it is necessary, be a touch brutal too.|01-09-2014|scorpio
40|Interesting information will come your way over the next 24 hours, the kind of information that makes it easier for you to get your way. Once others realize you are ahead of the game they are much more likely to do as you say.|01-10-2014|scorpio
41|A minor difference of opinion could get out of hand and lead to a major upheaval today. Yes, of course, others can be both unreasonable and touchy at times, but you don’t have to fan the flames. It does not have to be a war of words.|01-11-2014|scorpio
42|Make sure the figures you are responsible for add up, because if there are any discrepancies your rivals will point the finger and suggest it’s all your fault. Take extra care financially – make sure every last cent is accounted for.|01-12-2014|scorpio
43|You seem to be more open towards strangers than usual and that’s good because someone you meet over the next few days could become not just a friend but also a business partner. You can have fun and make money together too.|01-13-2014|scorpio
44|You will push yourself hard over the next few days, of that there is little doubt, but will you push yourself in the right direction? That remains to be seen. Just make sure you don’t push past someone in a position of power – they won’t like it.|01-14-2014|scorpio
45|The tensions in one particular area of your life have almost reached breaking point but that need not be as bad as it sounds. In fact it could even be good if it clears away all those resentments you’ve been saving up these past few months.|01-15-2014|scorpio
46|Don’t get upset if others don’t seem interested in what you have to tell them. It’s unlikely you will get much sense out of them over the next 24 hours. If you want intelligent conversation, you may have to talk to yourself.|01-16-2014|scorpio
47|Try not to make decisions for friends and loved ones because no matter how well intentioned you may be they are sure to resent it. Let them learn from their own mistakes and be there to help them up off the floor if they need it.|01-17-2014|scorpio
48|Family matters of one sort or another seem to be taking up an increasingly large part of your time and energy. That is only to be expected but it does not mean you have to let other people’s needs eclipse your own. You have desires too.|01-18-2014|scorpio
49|The problems that confront you now are problems you have faced many times before, so you should know how to deal with them. But if you are still not sure what your next move should be don’t be afraid to ask a friend for advice.|01-19-2014|scorpio
50|Try to be more sensitive when dealing with emotional issues that involve other people. The thing to remember is that not everyone is as robust as you – in fact some people are quite fragile. So, if they burst into tears, you’re doing it wrong!|01-20-2014|scorpio
51|The decisions you make over the next few days will have a lasting impact on your domestic situation, so make sure you know all the facts and make sure you are not being misled by those who have an axe to grind or an agenda to fulfill.|01-21-2014|scorpio
52|You may be reserved by nature but every now and again you go right the other way and say things that shock those around you – and this is one of those days. Put simply, you’ve had enough of complaints and criticisms. It’s time to hit back.|01-22-2014|scorpio
53|Rarely have you had so many obligations. Rarely have your duties been so arduous. That’s the bad news. The good news is there are people in your life who will happily lend a hand – all you have to do is ask. Or is that too much for your ego?|01-23-2014|scorpio
54|There is a reason for everything that happens in life – ultimately there is no such thing as luck. Keep that thought in mind today and it will help you keep your feet on the ground regardless of whether events are classed as “good” or “bad”.|01-24-2014|scorpio
55|It will pay you to adopt a low profile this weekend, not least because a certain individual is looking for an excuse to pick holes in what you say and do. Don’t make it easy for them: do one of your famous disappearing acts.|01-25-2014|scorpio
56|Some kind of feud or falling-out is getting you down but the good news is that if you make the first move and let others know that you want to be friends again they will jump at the chance to make a new start. Go for it.|01-26-2014|scorpio
57|Don’t do something just because it is forbidden today – it may be fun breaking the rules but it could also be costly. Risks are allowed, of course, but they must be of the calculated variety. Anything else is asking for trouble.|01-27-2014|scorpio
58|Anything of a creative nature will go well, but it will go even better if you make an effort to involve loved ones in what you are doing. Sometimes you get so intensely involved in your work that others feel left out. Let them help you.|01-28-2014|scorpio
59|If your daily routine is making too many demands on you, then maybe it’s time you did something about it. However, because the changes you make this week are likely to become permanent changes, make sure you really want them.|01-29-2014|scorpio
60|No matter how badly someone may have let you down you must forgive them. There is no point holding a grudge, not when there are so many wonderful things going on in the world. If you’re not smiling then you’re doing it wrong.|01-30-2014|scorpio
61|Have fun. Enjoy yourself. Hang out with your friends. This isn’t a day to think about work or money or any of the many other things you have been worrying about. You deserve a break so reward yourself. Others will be happy for you too.|01-31-2014|scorpio
62|Your money worries should begin to ease this weekend but you must not lose sight of the fact that the underlying cause of your financial anxiety remains. In the long-term you must either cut back on your spending or earn a lot more.|02-01-2014|scorpio
63|Take care that in your hurry to impress important people you don’t overestimate your abilities and take on too much. You may not like to say “no” to those whose support you are trying to secure but they won’t be impressed if you fail to deliver.|02-03-2014|scorpio
64|You need to ask the right questions today and to ask the right questions you need to see your life for what it is, not what you wish it might be. Your main task for the next 24 hours, and after, is to be completely honest with yourself.|02-04-2014|scorpio
65|If you can imagine it, you can do it — yes, it really is as simple as that. You know what it is you desire and you know what needs to be done to get it, so stop playing around and get serious about your ambitions. Time is running out. |02-05-2014|scorpio
66|You may have to be abrupt, even rude, with certain people today, simply because they are too slow and too stupid to work things out for themselves. Don’t bruise egos for the fun of it but make sure what needs to get done gets done, and quickly.|02-06-2014|scorpio
67|If you must get involved in a dispute between friends make sure you are scrupulously even-handed. If you give the impression that you favor one side more than the other you will make things worse than if you had left well alone.|02-07-2014|scorpio
68|There is a real chance that one or more of your dreams is about to come true, so keep telling yourself that all things are possible and keep believing that success is just around the next corner. Today’s dream is tomorrow’s reality.|02-08-2014|scorpio
69|Don’t worry too much if you feel a bit gloomy today because you will brighten up considerably later in the week. If you don’t feel like working or socializing then don’t force yourself. Sit quietly, think deeply and meditate on the meaning of life.|02-10-2014|scorpio
70|Not everyone is as dynamic as you, and you would be wise to bear that thought in mind today, especially when dealing with people who seem indecisive. You may think they are dragging their feet on purpose but it’s just the way they are. |02-11-2014|scorpio
71|All things are possible for those born under the sign of the Scorpion but that does not mean success will happen as if by magic – you still need to be clear about what it is you want and committed to getting it. Reaffirm your desires today.|02-12-2014|scorpio
72|There is still time, just, to make your feelings known but if you leave it too late in the day the opportunity will slip past and it won’t come again for quite a while. Don’t worry that you might be rejected. Others think highly of you.|02-13-2014|scorpio
73|It seems you are having second thoughts about a career move. You want to move up in the world, of course, but is this the route you should be taking? Think about it but don’t make any decisions yet. Everything will be clearer next week.|02-14-2014|scorpio
74|People expect you to be cautious, so why not surprise them this weekend and do something out of the ordinary? It may be a long time before you feel this open and outgoing again, so make the most of it and make sure you get noticed.|02-15-2014|scorpio
75|The good times may have been avoiding you of late but in a matter of days, maybe hours, your luck will improve a hundredfold. The Sun’s change of signs tomorrow marks the start of the most dynamic and creative time of the year.|02-17-2014|scorpio
76|The Sun spends the next few weeks transiting the most dynamic and creative area of your chart, so set your sights high and don’t think for a moment that you can’t reach the top. A positive attitude will yield positive results in all your affairs.|02-18-2014|scorpio
77|Avoid quick fixes and dubious schemes today because, inevitably, they will cost you money. Anyone who approaches you with any of those once-in-a-lifetime, just-can’t-lose proposals must be shown the door. Make sure you bolt it after them. |02-19-2014|scorpio
78|Be forceful today. Put your own interests first. The Sun in Pisces is giving you a massive boost of confidence, so make the most of it and make sure everyone knows where you are coming from and what you intend to do. Then do it.|02-20-2014|scorpio
79|You need to confront a fear that has been holding you back and you need to do it now. A little bit of courage will take you a long way, maybe all the way to a new life and a new way of looking at and thinking about the world.|02-21-2014|scorpio
80|Avoid all kinds of wishful thinking over the next 48 hours. Only by taking a realistic attitude to your current situation, both professional and financial, will you come to a correct conclusion as to what needs to be done. Honesty with yourself is essential.|02-22-2014|scorpio
81|Anything of a creative, artistic or romantic nature will go well this week. Even if you are one of those Scorpios who doesn’t like to court attention you will be assertive and ambitious over the next seven days. You can succeed and you will succeed.|02-23-2014|scorpio
82|The Sun in Pisces makes this one of the best times of the year for you and when the Sun links with Jupiter next weekend you will get your reward for the efforts you have made. Between now and then though be patient. Good things will come.|02-24-2014|scorpio
83|It’s time to put your own interests first and start work on something you have been thinking about for weeks, months, maybe even years. This is an excellent day for creative activities, so put your doubts behind you and follow your dream.|02-25-2014|scorpio
84|There is a danger that what you say over the next 24 hours will be taken the wrong way and used against you at some stage in the future. Misunderstandings can be costly, so spell out what you mean in plain language. Leave nothing to chance.|02-26-2014|scorpio
85|Keep your eye on the ball and keep your mind on what it is you are hoping to accomplish. If you can do that then you will succeed. The approaching new moon will give you added drive and dynamism. How can you lose? You can’t!|02-27-2014|scorpio
