|horoscope|pub_date|zodiac
0|For some reason you appear reluctant to accept an offer of assistance from a friend or work colleague. According to the planets you are right to be suspicious, so listen to your sixth sense and do only what it tells you.|12-01-2013|pisces
1|It may appear as if you are the only one making sacrifices for a relationship but the planets warn you are not seeing the situation clearly. Don’t start complaining or you may lose the one person who makes your world a better place.|12-02-2013|pisces
2|You are being far too pessimistic about your chances. In all things there is a natural ebb and flow and if you are on the down side of the curve at the moment you are sure to be on the up again by the end of the week.|12-03-2013|pisces
3|The only thing to fear is fear itself, so put your doubts behind you and plunge headlong into the unknown. That might not sound like a typically Taurus thing to do but, seriously, what have you got to lose? Take a chance.|12-04-2013|pisces
4|What you focus your attention on today will seem more important than it really is, so make sure you focus on positive things. Your mind is a powerful tool and can create happiness as easily as it creates sadness. Remember that. |12-05-2013|pisces
5|Too often in the past you have held back while those with considerably less talent have achieved the kind of success that should have been yours. It’s time to shed your inhibitions and let the world see what a star you really are.|12-06-2013|pisces
6|You won’t lack for confidence today but you may lack for common sense, so don’t push your luck too far. On the work front, especially, you need to be aware that certain people do not have your best interests at heart.|12-07-2013|pisces
7|Keep your eye on money matters and business issues and make sure you are not being duped by people who would quite happily get rich at your expense. It would be nice if everyone was as honest as you but the fact is they’re not.|12-08-2013|pisces
8|There is a lot of pressure on you at the moment, the sort that would make other people crack. But you’re not other people, you’re a Taurus, and giving in and giving up are not in your nature. What’s the worst that can happen? You can handle it.|12-09-2013|pisces
9|Be careful what you say if someone comes to you for advice. Make sure what you tell them comes from your own experience and is not something you picked up from an unreliable source. If you don’t know the answer, just say so.|12-10-2013|pisces
10|If you need to get something finished you had better step on the gas. Mars in the work area of your chart will boost your energy levels but you won’t get anywhere worth going unless you are motivated. Remind yourself what it’s all for.|12-11-2013|pisces
11|It may at times seem as if you are not making much progress but in a matter of days there will be clear signs that you are on the verge of a major breakthrough. Keep looking ahead and keep doing what makes you feel good.|12-12-2013|pisces
12|Expect your workload to increase a lot over the next 24 hours. That may not sound like good news but at least it shows that important people trust you to get the job done. Looks like you’re the only one they can rely on.|12-13-2013|pisces
13|Don’t let your tendency to fear the worst get out of hand and spoil what otherwise promises to be a good weekend. If anxiety starts to bite just stop, count to ten, and remind yourself of all the things you have to be thankful for.|12-14-2013|pisces
14|Your money situation looks worse than it really is, so resist the urge to make major changes. Yes, cutbacks of some kind will be necessary in the long-term but now is not the best time to start them as you are not thinking straight.|12-15-2013|pisces
15|Speak up if you have something important to say but make sure you listen too because the feedback you get could be invaluable. Also, someone you meet on your travels will come up with an idea that you take to immediately|12-16-2013|pisces
16|You may feel compelled to accept what is being offered but if you are not happy with the terms you must speak up or there will be trouble further down the line. You are not being selfish by holding out for more. Do what’s best for you.|12-17-2013|pisces
17|You will have to do something that makes you unpopular but if you don’t do it now you may have to do something twice as bad later on. Put duty before pleasure and make sure you are on top of your workload.|12-18-2013|pisces
18|You may resent having to pay for something you think you should get for free but if you make a scene you may end up paying even more. Don’t be such a miser. Put your hand in your pocket. It’s only money after all.|12-19-2013|pisces
19|If you find yourself up against a tough opponent today you should back off and live to fight another day. The planets warn this is a battle you cannot win and if you cannot win then the only sensible course is to withdraw, for now.|12-20-2013|pisces
20|This is a good time for affairs of the heart and if you are in the market for love you might just meet someone who floats your boat. However, the planets warn it won’t be all plain sailing, so be ready to brave a few storms.|12-21-2013|pisces
21|Make quick work of any money matters or business issues that have to be dealt with, then turn your attention to having fun with your friends. Travel of one sort or another is on the cards over the next few weeks, so start packing.|12-22-2013|pisces
22|This is a fortunate time of year for you, so why the feeling of impending doom? Whatever it is that is making you jittery put it out of your mind because it does not have the power to hurt you. Work is the best remedy for worry.|12-23-2013|pisces
23|You will handle anything and everything life throws at you with grace and style. The planets endow you with limitless self-confidence and the kind of faith that moves mountains. Make the most of it – and make your mark on the world.|12-24-2013|pisces
24|It will pay you to be skeptical about what you are told today, especially if the person who is doing the telling is a rival of some sort. The more they assure you there is nothing to worry about the more you should check for yourself.|12-25-2013|pisces
25|You need a change of perspective and a change of direction and the planets will see that you get it. But don’t worry: you will like what the next few weeks bring your way very much indeed. Be positive and welcome new opportunities.|12-26-2013|pisces
26|This promises to be a special day for you, even more so if you are socializing or traveling. It is also a good day to patch things up romantically. Whatever problems you had in the past put them behind you and move on.|12-27-2013|pisces
27|You are about to be made an offer you won’t want to refuse but some individuals will go out of their way to persuade you that it’s not in your interests. Don’t listen to them. They are jealous because you are attracting so much good fortune.|12-28-2013|pisces
28|The Sun in Capricorn gives your confidence a boost but confidence alone won’t get you where you want to go. The approaching new moon will remind you that no matter how determined you may be you still need powerful friends.|12-30-2013|pisces
29|Something will happen today that others think is of mega-importance. You, however, can see the situation for what it truly is: just another minor drama in a long line of minor dramas. It’s not worth getting worked up about. |12-31-2013|pisces
30|There is nothing you cannot do and no one you cannot impress. Today’s new moon in Capricorn means not only that you are full of confidence but that friends, colleagues and loved ones will go out of their way to assist you too.|01-01-2014|pisces
31|Cosmic activity in the work and well being area of your chart warns youmust be careful not to over do it today. Youmay have a thousand and one things to do but you won’t get them all done at once. There’s always tomorrow.|01-02-2014|pisces
32|The planets will bring to light a solution to a personal or professional problem you thought was here to stay. You should know by now that nothing is impossible: Everything worth knowing is revealed over time, so be patient.|01-03-2014|pisces
33|Minor disputes could escalate into major disagreements over the next 48 hours, so try not to react emotionally to what you see or hear. No matter what happens, at home or at work, keep telling yourself it’s not nearly as bad as it looks.|01-04-2014|pisces
34|This is a great time to be on the move, for business or for pleasure. The more people you meet the more likely it is you will learn something to your advantage. Contacts with unusual people could be especially profitable this week.|01-05-2014|pisces
35|A relationship that has fallen into a rut can be spiced up again but it won’t happen if you keep looking back to the past. Once you accept that it will never be the way it was you can start making it even better for the future.|01-06-2014|pisces
36|You seem to think the worst is going to happen. You seem to think the sky is going to fall on your head. You should know by now that is exactly the sort of thought pattern that encourages bad things to happen. Be positive. |01-07-2014|pisces
37|Honest effort always gets results, so keep plugging away at what you are working on and don’t get dispirited if results are slow in coming. Nothing you do is ever wasted and one day soon you will make that breakthrough you long for.|01-08-2014|pisces
38|You will be inspired to give of your best over the next 24 hours, no matter what it might be you are working on. Hold on to that positive, can-do attitude as long as you can, ideally until the moon is full seven days from now.|01-09-2014|pisces
39|Even a Taurus needs to take a break now and again and the planets indicate this is the perfect time to sit quietly and ponder the meaning of your existence. If that sounds a bit too intellectual, just plan your next big vacation.|01-10-2014|pisces
40||01-11-2014|pisces
41|If you change your mind about something over the next few days you will only change it back again towards the end of the month when you realize you have got facts and figures completely wrong. Stick with what you already know.|01-12-2014|pisces
42|Don’t listen to those who counsel caution. The only reason they don’t want you to do anything adventurous is because they are worried it will make them look bad. And they’re right, it will – which is all the more reason to do it.|01-13-2014|pisces
43|Over the next few days it will feel like you have turned a corner, that better days are coming. They probably won’t arrive for a few weeks yet but because you know they are on their way you can start making plans. Make them big.|01-14-2014|pisces
44|You would like nothing better than to turn your back on the past and start again but you know it isn’t practical. The planets urge you to make the most of the situation you find yourself in: it’s not as bad as you seem to believe.|01-15-2014|pisces
45|Any plans you make now are under the influence of the full moon, so try not to take them too seriously. A lot depends on whether you made them rationally or emotionally. If it was the latter, they may have to be changed.|01-16-2014|pisces
46|Something will happen today that to begin with annoys you, but when you calm down and think about it you will realize that it makes no difference to your plans. Carry on with what you were going to do – and do it brilliantly.|01-17-2014|pisces
47|Over the next few days you will become increasingly focused on your position in the wider world. Most likely you will feel you could be making more of your talents and you’re right, you could. It’s time to move up a gear.|01-18-2014|pisces
48|There will be several opportunities to boost your reputation and move up in the world over the coming week. But don’t think you have to fight every inch of the way. Turn on the charm – you’ll be amazed how far it takes you.|01-19-2014|pisces
49|Cosmic activity in the career area of your chart will do your reputation a power of good over the next few days, so put your doubts behind you and show the world you have what it takes. Work hard but don’t forget to play hard too.|01-20-2014|pisces
50|This is the perfect time to enhance your status and give your reputation a boost. You will find favor with people in positions of power but the most important thing is that you believe in yourself – then others will believe in you too.|01-21-2014|pisces
51|If there is something you have been trying to do but every time you get started something forces you to stop, it could be a sign you should be doing something else. Maybe the planets are trying to push you in a more rewarding direction.|01-22-2014|pisces
52|You will fall out with someone who does not share your aims and opinions. It’s just as well. The longer you go on pretending that you can work together despite your differences the less likely it is you will get any serious work done.|01-23-2014|pisces
53|Why are you so excitable? Whatever the reason you will be on the go from dawn to dusk today. You may need to rest and get your energy back tomorrow but for now you are a ball of energy that cannot be contained. Do something extraordinary.|01-24-2014|pisces
54|You may be wondering if you have taken on too much or taken too much for granted. Ignore any fears you may have because this is only a temporary loss of self-belief and soon you will be taking on even bigger challenges.|01-25-2014|pisces
55|You will find it much easier than usual to come up with big ideas this week, which is sure to impress employers and other important people. And that’s good because there is a new moon this week and that means new opportunities.|01-26-2014|pisces
56|You have been worrying about something for no good reason and what happens over the next few days will convince you that you have in fact been rather lucky. That luck will continue as someone makes you an offer you won’t want to refuse.|01-27-2014|pisces
57|You have your sights fixed on certain goals and won’t give up until you have reached them. However, cosmic activity in the area of your chart that governs dreams and desires warns you need to get your ego out of the way. Let others guide you.|01-28-2014|pisces
