|horoscope|pub_date|zodiac
0|Spend some time alone as the new week begins so you can think deeply about what you are going to do between now and the end of the year. Give friends and relatives a miss or they will pester you with all sorts of problems.|12-01-2013|virgo
1|Some things you can see from a long way away but others things you don’t see until you are right up in front of them. You’re not the only one to see something so important so late in the day, so don’t make a big deal of it.|12-02-2013|virgo
2|There are times when you let the mask of self-control slip and let your emotions get the better of you and that will most likely happen today. If it does it may be to your benefit. Let others see you are not just practical but passionate too.|12-03-2013|virgo
3|Family relationships are under favorable stars at the moment, so reach out to someone you love and let them know how you feel. Some say Virgos are cool and calculating, so now is your chance to prove them wrong.|12-04-2013|virgo
4|What happens today, tomorrow and over the weekend may at times look chaotic but if you stand back and cross your eyes slightly you will see there is a pattern to it all. Never doubt that, bit by bit, your life is moving in the right direction. |12-05-2013|virgo
5|You have good reason to be annoyed with someone but because you are such an agreeable individual you may allow them to wriggle out of it just by saying the right words. That would be a mistake. Don’t forgive quite so easily.|12-06-2013|virgo
6|For some reason you seem unable to bring yourself to say what you believe. Could it be because you know your opinions will upset other people and you just don’t want the hassle? What happened to your regard for the truth?|12-07-2013|virgo
7|You seem to be plagued by a lot of irrational fears at the moment. According to the planets your worries are mainly if not entirely in your own mind, so focus on positive things and ignore whatever it is that makes you feel anxious. |12-08-2013|virgo
8|You will encounter hostility of some sort over the next 24 hours, most likely from someone who resents your ability to point out where they are going wrong. If it gets heated you would be wise to turn your back and walk away.|12-09-2013|virgo
9|You are in a carefree mood at the moment and should make it your mission to cheer up friends and family members who do not share your happy-go-lucky outlook. You can’t change the world but you can make some people smile.|12-10-2013|virgo
10|It would appear that your authority on the work front has slipped a bit of late and you need to find ways to remind people why they should do what you tell them. Be persuasive but don’t be rude. Leaders need followers who respect them.|12-11-2013|virgo
11|If you have started on some kind of scheme then you must see it through to the end. Having come so far and invested so much time and energy you cannot give up on it now. Besides, it could work out better than you expected.|12-12-2013|virgo
12|Saturn may be casting a cloud over money matters at the moment but you can still have fun. Besides, if you keep a tight hold of the purse strings now you will have more to spend over the holiday period and party season.|12-13-2013|virgo
13|You have made a lot of sacrifices, both at home and at work, and over the next few days you will begin to see what it has earned you. New opportunities will come your way and new people will come into your life. Use them.|12-14-2013|virgo
14|You may be dismayed to find that you are not quite so popular with employers and other important people over the next few days, but there is no need to worry. It’s just a passing phase and you will soon be flavor of the month again.|12-15-2013|virgo
15|Your confidence is sky-high at the moment and because of that you are ready to risk almost anything to prove you are the best. Before the day is over even your critics will be singing your praises and willing you to succeed|12-16-2013|virgo
16|Someone will be aggressive towards you today. What have you done to deserve being treated so harshly? Probably nothing but they may see it as getting their own back for something you said or did previously. Let it pass.|12-17-2013|virgo
17|People will be demanding of you today and there may come a time when you realize you are being taken for a ride. The fact is they could have done most of these things for themselves if they wanted to. Make them wish they had.|12-18-2013|virgo
18|If you feel the need to kiss and make up with a partner or relative now is the time. If you leave it much longer you may find that it isn’t so easy or, worse, that they have found the love they need with someone else. |12-19-2013|virgo
19|Check facts and figures today, especially those that a colleague says are okay and you don’t have to worry about. If you give them the green light to proceed now you may regret it later when what you’ve both missed costs you dear.|12-20-2013|virgo
20|If you have confidence in your abilities then there is nothing that can stop you from reaching your goals. As the Sun moves into the most dynamic area of your chart this weekend anything is possible for you. Yes, really – anything.|12-21-2013|virgo
21|Creatively and romantically this is one of the best times of the year for you, so decide what it is you want to achieve, then make it happen. Don’t listen to those who say you should not take risks, just do what feels right to you.|12-22-2013|virgo
22|Try to be more trusting, especially when dealing with people whose support could be vital in the future. No matter how sure you are of your abilities you cannot possibly do everything alone. And a second opinion is rarely a bad thing.|12-23-2013|virgo
23|This should be a productive day for you – you will get a lot done in a short space of time. Make the most of it because as you move into the new year you will find that not everything comes quite so easy. Be ruthless if you have to. |12-24-2013|virgo
24|You may not be thinking too clearly today but that will only be a problem if you are dealing with issues that are important. Steer clear of making any final decisions about things like your finances – they can wait until another day.|12-25-2013|virgo
25|Play to your strengths and don’t let what others are doing affect you in any way. There are some things you do better than most and those are the things you should be focusing on now. You will soon be moving ahead in leaps and bounds.|12-26-2013|virgo
26|With both the Sun and Venus traversing the most passionate area of your chart there is just no way you can keep your feelings to yourself. And why would you want to when your feelings are so positive? Spread the love around.|12-27-2013|virgo
27|If ever there was a time to make a major effort that time is now, because it will pay off big time over the weeks and months to come. Cosmic activity in the most dynamic area of your chart urges you to be creative. Take a few chances!|12-28-2013|virgo
28|If you are involved in anything of a creative or artistic nature it will go very well in the early days of the new year. It’s also a good time for affairs of the heart, so be creative in your love life too. No, it’s not true that Virgos are boring!|12-29-2013|virgo
29|There is something that needs to be said and you are the one who should be saying it. The information will come out anyway later in the week, so you might as well be the one to break the news. It will put you at a distinct advantage.|12-30-2013|virgo
30|A more assertive attitude is called for and with Mercury, your ruler, linked to power planet Pluto it shouldn’t be too hard. But don’t take risks with your money – no matter how assertive you are you will lose more than you gain. |12-31-2013|virgo
31|Today’s new moon takes place in the most dynamic and creative area of your chart, and with power planet Pluto in the mix as well you are sure to do something remarkable. Just make sure you do it for yourself and for loved ones, not strangers.|01-01-2014|virgo
32|The sooner you stop worrying about your money situation the sooner it will sort itself out. That might sound too good to be true but the more you torment yourself about something the more power you give it. Fix your mind on something else.|01-02-2014|virgo
33|Something that made no sense at all to you before will make perfect sense today. Most likely the thing itself has not changed but the way you look at it has. Next time, try listening to what friends and colleagues try to tell you.|01-03-2014|virgo
34|You may have to get tough and lay down the law this weekend, but only because you have been too soft in the past and let people get away with things they should have been held responsible for. Next time, don’t let it go so far.|01-04-2014|virgo
35|You will find that all sorts of people want to be nice to you over the next seven days. Does that make you suspicious? Don’t worry, the planets suggest their kindness is genuine, so if you need to ask favors, of anyone, now is the time.|01-05-2014|virgo
36|Although some may find it hard to believe you are very much in touch with your emotions and that’s good because if you rely entirely on your rational mind today you could miss out on something. Let your heart rule your head.|01-06-2014|virgo
37|Keep things simple today because the more complicated you allow your activities to get, the more likely it is you will get confused and make a mistake. Focus on essentials, and make sure they are easy to understand and put into effect. |01-07-2014|virgo
38|Do something different today, something that livens things up both at home and at work. Some people may think you have taken leave of your senses but they are just the sort of people who have been dragging you down. Ignore them.|01-08-2014|virgo
39|It seems you are enamored more by things than you are by people at the moment. Nothing wrong with that as such but take care that your material desires don’t detract from your relationships. Ultimately, only love truly matters.|01-09-2014|virgo
40|Take care you don’t get lulled into a false sense of security and end up making the kind of silly mistake you usually work so hard to avoid. It’s not like you to take things for granted, so check every last detail over the next 24 hours.|01-10-2014|virgo
41||01-11-2014|virgo
42|If you feel the need to clear the air then say what is on your mind. But be ready for the backlash, which won’t be long in coming. Some people, it seems, would rather you did not bring up subjects they feel uncomfortable with.|01-12-2014|virgo
43|The Sun is on your side and your confidence is high, so do something special over the next few days. By this time next week it won’t be so easy to stand out, so give it your all, creatively and romantically, while you can.|01-13-2014|virgo
44|The pace of life will pick up over the next few days, and that’s good. This is still one of the most creative and productive times of the year for you, so stop thinking about what you might accomplish and get out there and actually do it.|01-14-2014|virgo
45|As tomorrow’s full moon cuts across one of the more outspoken areas of your chart you won’t be at your most tactful when dealing with people whose opinions you do not share. But why should you be when you are right and they are wrong?|01-15-2014|virgo
46|The less you reveal about your plans the better. Keep your ideas to yourself and stay tight-lipped even if your best friends ask what you are up to. That applies just as much on the work front. The less others know, the better for you.|01-16-2014|virgo
47|According to the planets you are too close to a project and need to step back a bit if you are to get a realistic view of how you are doing – and what you need to do next. Ask a trusted friend what they think as well – their view could be enlightening.|01-17-2014|virgo
48|The Sun moves into the area of your chart that governs both your work and your wellbeing at the start of next week, so try not to exert yourself too much over the next 48 hours. You don’t HAVE to party each and every night you know!|01-18-2014|virgo
49|Think very carefully before taking on new duties and responsibilities this coming week. It does not matter that you can do twice as much as others, and do it twice as well, you must not allow yourself to be taken advantage of.|01-19-2014|virgo
50|Do whatever it takes to stay healthy and whole. If you don’t you will find yourself under increasing physical, mental and emotional pressure as your workload increases and your energy levels begin to decline. Put your wellbeing first – always.|01-20-2014|virgo
51|Cosmic activity in the area of your chart that governs your work and your well-being is warning you not to push yourself too hard. Your energy levels may be a bit low at the moment, so pace yourself sensibly and cut back on your commitments.|01-21-2014|virgo
52|You will get more done over the next 24 hours than you managed to get done in the past 24 days. But don’t think that means you have to work harder. On the contrary, you should cut back on your workload. Achieve more by doing less.|01-22-2014|virgo
53|If you take what someone tells you at face value you will miss what really matters. Before you make any kind of decision, either in your personal life or at work, make sure you know all the facts – not just the ones others want you to know.|01-23-2014|virgo
